indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI,future_variability,future_value
AIDS_Mortality,2025,0,absolute_dif,0,0,0,test_reduction_only,0
AIDS_Mortality,2025,0,baseline,0.05863969317490281,0.05891997714748512,0.058359409202320495,test_reduction_only,0
AIDS_Mortality,2025,0,intervention,0.05863969317490281,0.05891997714748512,0.058359409202320495,test_reduction_only,0
AIDS_Mortality,2025,0,percent_change,0,0,0,test_reduction_only,0
ANCtestPos,2025,0,absolute_dif,0,0,0,test_reduction_only,0
ANCtestPos,2025,0,baseline,0.27571775,0.2839609475,0.2674745525,test_reduction_only,0
ANCtestPos,2025,0,intervention,0.27571775,0.2839609475,0.2674745525,test_reduction_only,0
ANCtestPos,2025,0,percent_change,0,0,0,test_reduction_only,0
ARTcoverageDiagF,2025,0,absolute_dif,0,0,0,test_reduction_only,0
ARTcoverageDiagF,2025,0,baseline,9.023370499999999,9.025278574999998,9.021462425000001,test_reduction_only,0
ARTcoverageDiagF,2025,0,intervention,9.023370499999999,9.025278574999998,9.021462425000001,test_reduction_only,0
ARTcoverageDiagF,2025,0,percent_change,0,0,0,test_reduction_only,0
ARTcoverageDiagM,2025,0,absolute_dif,0,0,0,test_reduction_only,0
ARTcoverageDiagM,2025,0,baseline,7.8528899999999995,7.877518749999999,7.82826125,test_reduction_only,0
ARTcoverageDiagM,2025,0,intervention,7.8528899999999995,7.877518749999999,7.82826125,test_reduction_only,0
ARTcoverageDiagM,2025,0,percent_change,0,0,0,test_reduction_only,0
FemalesOver15,2025,0,absolute_dif,0,0,0,test_reduction_only,0
FemalesOver15,2025,0,baseline,269436900,269891570,268982230,test_reduction_only,0
FemalesOver15,2025,0,intervention,269436900,269891570,268982230,test_reduction_only,0
FemalesOver15,2025,0,percent_change,0,0,0,test_reduction_only,0
HIVtestsPos,2025,0,absolute_dif,0,0,0,test_reduction_only,0
HIVtestsPos,2025,0,baseline,0.19324705,0.2038857675,0.1826083325,test_reduction_only,0
HIVtestsPos,2025,0,intervention,0.19324705,0.2038857675,0.1826083325,test_reduction_only,0
HIVtestsPos,2025,0,percent_change,0,0,0,test_reduction_only,0
MalesOver15,2025,0,absolute_dif,0,0,0,test_reduction_only,0
MalesOver15,2025,0,baseline,253507650,253751657.5,253263642.5,test_reduction_only,0
MalesOver15,2025,0,intervention,253507650,253751657.5,253263642.5,test_reduction_only,0
MalesOver15,2025,0,percent_change,0,0,0,test_reduction_only,0
NewAdultHIV,2025,0,absolute_dif,0,0,0,test_reduction_only,0
NewAdultHIV,2025,0,baseline,1491090.5,1510767.375,1471413.625,test_reduction_only,0
NewAdultHIV,2025,0,intervention,1491090.5,1510767.375,1471413.625,test_reduction_only,0
NewAdultHIV,2025,0,percent_change,0,0,0,test_reduction_only,0
NewDiagnosesPregnancy,2025,0,absolute_dif,0,0,0,test_reduction_only,0
NewDiagnosesPregnancy,2025,0,baseline,129327.66,129624.212,129031.10800000001,test_reduction_only,0
NewDiagnosesPregnancy,2025,0,intervention,129327.66,129624.212,129031.10800000001,test_reduction_only,0
NewDiagnosesPregnancy,2025,0,percent_change,0,0,0,test_reduction_only,0
Number1stHIVtestsPos,2025,0,absolute_dif,0,0,0,test_reduction_only,0
Number1stHIVtestsPos,2025,0,baseline,1565439,1583556.4500000002,1547321.5499999998,test_reduction_only,0
Number1stHIVtestsPos,2025,0,intervention,1565439,1583556.4500000002,1547321.5499999998,test_reduction_only,0
Number1stHIVtestsPos,2025,0,percent_change,0,0,0,test_reduction_only,0
NumberHIVtestsPos,2025,0,absolute_dif,0,0,0,test_reduction_only,0
NumberHIVtestsPos,2025,0,baseline,3718936,3863174.5000000005,3574697.4999999995,test_reduction_only,0
NumberHIVtestsPos,2025,0,intervention,3718936,3863174.5000000005,3574697.4999999995,test_reduction_only,0
NumberHIVtestsPos,2025,0,percent_change,0,0,0,test_reduction_only,0
Prev15to49,2025,0,absolute_dif,0,0,0,test_reduction_only,0
Prev15to49,2025,0,baseline,1.6167695,1.624407025,1.609131975,test_reduction_only,0
Prev15to49,2025,0,intervention,1.6167695,1.624407025,1.609131975,test_reduction_only,0
Prev15to49,2025,0,percent_change,0,0,0,test_reduction_only,0
RediagnosesPregnancy,2025,0,absolute_dif,0,0,0,test_reduction_only,0
RediagnosesPregnancy,2025,0,baseline,374193.9,386711.57500000007,361676.22500000003,test_reduction_only,0
RediagnosesPregnancy,2025,0,intervention,374193.9,386711.57500000007,361676.22500000003,test_reduction_only,0
RediagnosesPregnancy,2025,0,percent_change,0,0,0,test_reduction_only,0
SWsexActs,2025,0,absolute_dif,0,0,0,test_reduction_only,0
SWsexActs,2025,0,baseline,1446768500,1447439675,1446097325,test_reduction_only,0
SWsexActs,2025,0,intervention,1446768500,1447439675,1446097325,test_reduction_only,0
SWsexActs,2025,0,percent_change,0,0,0,test_reduction_only,0
SWsexActsProt,2025,0,absolute_dif,0,0,0,test_reduction_only,0
SWsexActsProt,2025,0,baseline,1170149750,1174201832.5,1166097667.5,test_reduction_only,0
SWsexActsProt,2025,0,intervention,1170149750,1174201832.5,1166097667.5,test_reduction_only,0
SWsexActsProt,2025,0,percent_change,0,0,0,test_reduction_only,0
TestsPerAdult,2025,0,absolute_dif,0,0,0,test_reduction_only,0
TestsPerAdult,2025,0,baseline,4.5095382960138934,4.936988083393772,4.082088508634015,test_reduction_only,0
TestsPerAdult,2025,0,intervention,4.5095382960138934,4.936988083393772,4.082088508634015,test_reduction_only,0
TestsPerAdult,2025,0,percent_change,0,0,0,test_reduction_only,0
TotalAIDSdeathsadult,2025,0,absolute_dif,0,0,0,test_reduction_only,0
TotalAIDSdeathsadult,2025,0,baseline,478386.65,478542.4025,478230.8975,test_reduction_only,0
TotalAIDSdeathsadult,2025,0,intervention,478386.65,478542.4025,478230.8975,test_reduction_only,0
TotalAIDSdeathsadult,2025,0,percent_change,0,0,0,test_reduction_only,0
TotalDiagnosesPregnancy,2025,0,absolute_dif,0,0,0,test_reduction_only,0
TotalDiagnosesPregnancy,2025,0,baseline,503521.55000000005,516335.7675,490707.3325,test_reduction_only,0
TotalDiagnosesPregnancy,2025,0,intervention,503521.55000000005,516335.7675,490707.3325,test_reduction_only,0
TotalDiagnosesPregnancy,2025,0,percent_change,0,0,0,test_reduction_only,0
TotalHIVtests,2025,0,absolute_dif,0,0,0,test_reduction_only,0
TotalHIVtests,2025,0,baseline,214423950,234468332.5,194379567.5,test_reduction_only,0
TotalHIVtests,2025,0,intervention,214423950,234468332.5,194379567.5,test_reduction_only,0
TotalHIVtests,2025,0,percent_change,0,0,0,test_reduction_only,0
TotANCtests,2025,0,absolute_dif,0,0,0,test_reduction_only,0
TotANCtests,2025,0,baseline,20190570,20280582.5,20100557.5,test_reduction_only,0
TotANCtests,2025,0,intervention,20190570,20280582.5,20100557.5,test_reduction_only,0
TotANCtests,2025,0,percent_change,0,0,0,test_reduction_only,0
TotHIV15,2025,0,absolute_dif,0,0,0,test_reduction_only,0
TotHIV15,2025,0,baseline,89769325,90227353.25,89311296.75,test_reduction_only,0
TotHIV15,2025,0,intervention,89769325,90227353.25,89311296.75,test_reduction_only,0
TotHIV15,2025,0,percent_change,0,0,0,test_reduction_only,0
TotProtSexActs,2025,0,absolute_dif,0,0,0,test_reduction_only,0
TotProtSexActs,2025,0,baseline,2209555000,2252975700,2166134300,test_reduction_only,0
TotProtSexActs,2025,0,intervention,2209555000,2252975700,2166134300,test_reduction_only,0
TotProtSexActs,2025,0,percent_change,0,0,0,test_reduction_only,0
TotSexActs,2025,0,absolute_dif,0,0,0,test_reduction_only,0
TotSexActs,2025,0,baseline,6792565500,6898953625,6686177375,test_reduction_only,0
TotSexActs,2025,0,intervention,6792565500,6898953625,6686177375,test_reduction_only,0
TotSexActs,2025,0,percent_change,0,0,0,test_reduction_only,0
VLsuppressed15,2025,0,absolute_dif,0,0,0,test_reduction_only,0
VLsuppressed15,2025,0,baseline,10.1631495,10.172910275000001,10.153388725,test_reduction_only,0
VLsuppressed15,2025,0,intervention,10.1631495,10.172910275000001,10.153388725,test_reduction_only,0
VLsuppressed15,2025,0,percent_change,0,0,0,test_reduction_only,0
VLunsuppressed15,2025,0,absolute_dif,0,0,0,test_reduction_only,0
VLunsuppressed15,2025,0,baseline,0.83685095,0.8466121525,0.8270897475,test_reduction_only,0
VLunsuppressed15,2025,0,intervention,0.83685095,0.8466121525,0.8270897475,test_reduction_only,0
VLunsuppressed15,2025,0,percent_change,0,0,0,test_reduction_only,0
