indicator,pitc_reduction_year,test_reduction,scenario,discount,mean,median,upper_CI,lower_CI,future_variability,future_value,cumulative_years
MMC10to14,2025,0,absolute_dif,undiscounted,-12379186.6,-12379143,-12343743.100000001,-12401638.9,condom_reduction,3,50
MMC10to14,2025,0,annual_absolute_dif,undiscounted,-12379186.6,-12379143,-12343743.100000001,-12401638.9,condom_reduction,3,50
MMC10to14,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMC10to14,2025,0,baseline,undiscounted,12379186.6,12379143,12401638.9,12343743.100000001,condom_reduction,3,50
MMC10to14,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMC10to14,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MMC15to19,2025,0,absolute_dif,undiscounted,-2027523.84,-2027848.9,-2021651.6600000001,-2031388.3975,condom_reduction,3,50
MMC15to19,2025,0,annual_absolute_dif,undiscounted,-2027523.84,-2027848.9,-2021651.6600000001,-2031388.3975,condom_reduction,3,50
MMC15to19,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMC15to19,2025,0,baseline,undiscounted,2027523.84,2027848.9,2031388.3975,2021651.6600000001,condom_reduction,3,50
MMC15to19,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMC15to19,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MMC20to24,2025,0,absolute_dif,undiscounted,-478214.98,-478421.395,-476369.9585,-479796.31775000005,condom_reduction,3,50
MMC20to24,2025,0,annual_absolute_dif,undiscounted,-478214.98,-478421.395,-476369.9585,-479796.31775000005,condom_reduction,3,50
MMC20to24,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMC20to24,2025,0,baseline,undiscounted,478214.98,478421.395,479796.31775000005,476369.9585,condom_reduction,3,50
MMC20to24,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMC20to24,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MMC25to49,2025,0,absolute_dif,undiscounted,-1406032.46,-1405953,-1393072.7249999999,-1417739.8275,condom_reduction,3,50
MMC25to49,2025,0,annual_absolute_dif,undiscounted,-1406032.46,-1405953,-1393072.7249999999,-1417739.8275,condom_reduction,3,50
MMC25to49,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMC25to49,2025,0,baseline,undiscounted,1406032.46,1405953,1417739.8275000001,1393072.725,condom_reduction,3,50
MMC25to49,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMC25to49,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MMCover50,2025,0,absolute_dif,undiscounted,-203040.1318,-202978.07,-200144.85014999998,-205587.671,condom_reduction,3,50
MMCover50,2025,0,annual_absolute_dif,undiscounted,-203040.1318,-202978.07,-200144.85014999998,-205587.671,condom_reduction,3,50
MMCover50,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMCover50,2025,0,baseline,undiscounted,203040.1318,202978.07,205587.671,200144.85014999998,condom_reduction,3,50
MMCover50,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMCover50,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MSMonPrEP,2025,0,absolute_dif,undiscounted,-7491398.559061508,-7473633.910461987,-6928828.1664257385,-8115315.9413212845,condom_reduction,3,50
MSMonPrEP,2025,0,annual_absolute_dif,undiscounted,-7491398.559061508,-7473633.910461987,-6928828.1664257385,-8115315.941321284,condom_reduction,3,50
MSMonPrEP,2025,0,annual_percent_change,undiscounted,-4952.183351554194,-4952.170173289924,-4952.025537577478,-4952.340456500051,condom_reduction,3,50
MSMonPrEP,2025,0,baseline,undiscounted,7584104.13,7567093.050000001,8211533.3375,7015235.617500001,condom_reduction,3,50
MSMonPrEP,2025,0,intervention,undiscounted,92705.57093849225,93091.76851613767,98637.42831090288,86320.7363059145,condom_reduction,3,50
MSMonPrEP,2025,0,percent_change,undiscounted,-98.77675493587286,-98.7698425452307,-98.75123277936089,-98.82811579440173,condom_reduction,3,50
NewAdultHIV,2025,0,absolute_dif,undiscounted,3654613.96,3759326.65,4188404.5125,2937469.9875,condom_reduction,3,50
NewAdultHIV,2025,0,annual_absolute_dif,undiscounted,3654613.96,3759326.65,4188404.5125,2937469.9875,condom_reduction,3,50
NewAdultHIV,2025,0,annual_percent_change,undiscounted,7888.870787913999,7948.462271515319,8379.793723737843,7068.699099754673,condom_reduction,3,50
NewAdultHIV,2025,0,baseline,undiscounted,3859614.14,3887761.3,4254664.4175,3500787.6375,condom_reduction,3,50
NewAdultHIV,2025,0,intervention,undiscounted,7514228.1,7650955,8435166.525,6532312.85,condom_reduction,3,50
NewAdultHIV,2025,0,percent_change,undiscounted,94.46142700369111,95.73550545879235,101.76653761507701,81.17452022177257,condom_reduction,3,50
NewPrEP_F,2025,0,absolute_dif,undiscounted,-45957527.16,-45914008.95,-45232896.347500004,-46445870.785,condom_reduction,3,50
NewPrEP_F,2025,0,annual_absolute_dif,undiscounted,-45957527.16,-45914008.95,-45232896.347500004,-46445870.785,condom_reduction,3,50
NewPrEP_F,2025,0,annual_percent_change,undiscounted,-4623.633748548158,-4625.376954573399,-4609.538435001143,-4637.572428734596,condom_reduction,3,50
NewPrEP_F,2025,0,baseline,undiscounted,50764133.9,50599425,51398461.6,50075662.875,condom_reduction,3,50
NewPrEP_F,2025,0,intervention,undiscounted,4806606.74,4827579.35,4996227.0875,4650714.2025,condom_reduction,3,50
NewPrEP_F,2025,0,percent_change,undiscounted,-90.53145123301736,-90.56883031876403,-90.23621282574342,-90.80601275139225,condom_reduction,3,50
NewPrEP_M,2025,0,absolute_dif,undiscounted,-22864645.204801332,-22932386.760082535,-21574976.767966855,-24046077.84838578,condom_reduction,3,50
NewPrEP_M,2025,0,annual_absolute_dif,undiscounted,-22864645.20480133,-22932386.760082535,-21574976.76796685,-24046077.84838578,condom_reduction,3,50
NewPrEP_M,2025,0,annual_percent_change,undiscounted,-5100.74422983251,-5100.741616840223,-5100.7213903603715,-5100.766206976373,condom_reduction,3,50
NewPrEP_M,2025,0,baseline,undiscounted,22862601.7,22930344.5,24043962.150000002,21573056.525,condom_reduction,3,50
NewPrEP_M,2025,0,intervention,undiscounted,-2043.5048013308424,-2060.13054257718,-1920.2429668537716,-2128.9270480628456,condom_reduction,3,50
NewPrEP_M,2025,0,percent_change,undiscounted,-100.00894367923276,-100.0089069576767,-100.0086533534482,-100.00925672084739,condom_reduction,3,50
NewPrEP_Total,2025,0,absolute_dif,undiscounted,-68822172.36480133,-68771434.56008254,-66807873.11546685,-70458669.83528501,condom_reduction,3,50
NewPrEP_Total,2025,0,annual_absolute_dif,undiscounted,-68822172.36480133,-68771434.56008254,-66807873.11546685,-70458669.83528501,condom_reduction,3,50
NewPrEP_Total,2025,0,annual_percent_change,undiscounted,-4772.314261858885,-4775.861111310759,-4759.354334115097,-4781.25059955679,condom_reduction,3,50
NewPrEP_Total,2025,0,baseline,undiscounted,73626735.6,73529769.5,75439505.45,71674077.575,condom_reduction,3,50
NewPrEP_Total,2025,0,intervention,undiscounted,4804563.235198669,4825474.083406461,4994172.4073669035,4648654.475081082,condom_reduction,3,50
NewPrEP_Total,2025,0,percent_change,undiscounted,-93.47315375198596,-93.55067420638099,-93.21062010598116,-93.65185991143692,condom_reduction,3,50
PrEPcoverageAGYW,2025,0,absolute_dif,undiscounted,-4.379697638000001,-4.3818390350000005,-4.354353991,-4.39669096375,condom_reduction,3,50
PrEPcoverageAGYW,2025,0,annual_absolute_dif,undiscounted,-4.379697638,-4.381839035,-4.354353991,-4.39669096375,condom_reduction,3,50
PrEPcoverageAGYW,2025,0,annual_percent_change,undiscounted,-4769.1051097409445,-4768.445591493968,-4766.417950848192,-4772.918717188307,condom_reduction,3,50
PrEPcoverageAGYW,2025,0,baseline,undiscounted,4.67137473,4.672627800000001,4.6915187275,4.6456971475,condom_reduction,3,50
PrEPcoverageAGYW,2025,0,intervention,undiscounted,0.291677092,0.2925393,0.29495905125,0.287548064,condom_reduction,3,50
PrEPcoverageAGYW,2025,0,percent_change,undiscounted,-93.75611687461297,-93.74272143332945,-93.70826720560379,-93.83387950282113,condom_reduction,3,50
PrEPcoverageAll,2025,0,absolute_dif,undiscounted,-0.9825261423,-0.9821403794999999,-0.9474059993,-1.0103861471,condom_reduction,3,50
PrEPcoverageAll,2025,0,annual_absolute_dif,undiscounted,-0.9825261423,-0.9821403795,-0.9474059993,-1.0103861471,condom_reduction,3,50
PrEPcoverageAll,2025,0,annual_percent_change,undiscounted,-4724.799401313814,-4725.527295722806,-4713.779920339623,-4731.387416203216,condom_reduction,3,50
PrEPcoverageAll,2025,0,baseline,undiscounted,1.05698124,1.0559869,1.08615752,1.0217212875,condom_reduction,3,50
PrEPcoverageAll,2025,0,intervention,undiscounted,0.0744550977,0.0746557605,0.076284421675,0.07293734975,condom_reduction,3,50
PrEPcoverageAll,2025,0,percent_change,undiscounted,-92.95359086861113,-92.9579571823075,-92.71768579618194,-93.08842441232281,condom_reduction,3,50
PrEPcoverageFSW,2025,0,absolute_dif,undiscounted,-0.7432699000000003,-0.7407805000000014,-0.7354188500000011,-0.7573044749999986,condom_reduction,3,50
PrEPcoverageFSW,2025,0,annual_absolute_dif,undiscounted,-0.7432699,-0.7407805000000001,-0.7354188500000004,-0.7573044750000001,condom_reduction,3,50
PrEPcoverageFSW,2025,0,annual_percent_change,undiscounted,-220.50985094420926,-219.67402874518567,-218.18337085833053,-224.69909085858166,condom_reduction,3,50
PrEPcoverageFSW,2025,0,baseline,undiscounted,17.1600605,17.1634945,17.171833425000003,17.147167500000002,condom_reduction,3,50
PrEPcoverageFSW,2025,0,intervention,undiscounted,16.4167906,16.4187335,16.428494125,16.399060425000002,condom_reduction,3,50
PrEPcoverageFSW,2025,0,percent_change,undiscounted,-4.331392260606471,-4.315221055730843,-4.285599152685955,-4.413694669784855,condom_reduction,3,50
PrEPcoverageMSM,2025,0,absolute_dif,undiscounted,-16.390609117408776,-16.254080529959012,-15.223373280245225,-17.670958748715908,condom_reduction,3,50
PrEPcoverageMSM,2025,0,annual_absolute_dif,undiscounted,-16.390609117408776,-16.254080529959012,-15.223373280245223,-17.670958748715908,condom_reduction,3,50
PrEPcoverageMSM,2025,0,annual_percent_change,undiscounted,-4959.272149053163,-4959.196902568856,-4958.809881650746,-4959.743170798033,condom_reduction,3,50
PrEPcoverageMSM,2025,0,baseline,undiscounted,16.702148,16.565779499999998,17.99742175,15.516917525,condom_reduction,3,50
PrEPcoverageMSM,2025,0,intervention,undiscounted,0.31153888259122436,0.31169897004098757,0.3275600824932473,0.2935442447547766,condom_reduction,3,50
PrEPcoverageMSM,2025,0,percent_change,undiscounted,-98.1330717584399,-98.12065448743326,-98.10027511629644,-98.1988741174589,condom_reduction,3,50
StartingART_15,2025,0,absolute_dif,undiscounted,3096172.897,3192542.135,3464110.2094999994,2571617.3534999997,condom_reduction,3,50
StartingART_15,2025,0,annual_absolute_dif,undiscounted,3096172.897,3192542.1350000002,3464110.2095,2571617.3535,condom_reduction,3,50
StartingART_15,2025,0,annual_percent_change,undiscounted,6804.357740140097,6836.128352518503,7179.99045777889,6237.201853127403,condom_reduction,3,50
StartingART_15,2025,0,baseline,undiscounted,4110806.153,4066928.085,4498598.442500001,3798423.86875,condom_reduction,3,50
StartingART_15,2025,0,intervention,undiscounted,7206979.05,7302856.6,7948976.2675,6475423.024999999,condom_reduction,3,50
StartingART_15,2025,0,percent_change,undiscounted,75.20779273558433,76.25940259468936,81.16640377121205,65.5036091120861,condom_reduction,3,50
TestsPerAdult,2025,0,absolute_dif,undiscounted,-3.158164786156589,-3.1653933183109384,-3.030887453965057,-3.2660578354678944,condom_reduction,3,50
TestsPerAdult,2025,0,annual_absolute_dif,undiscounted,-3.15816478615659,-3.1653933183109393,-3.0308874539650574,-3.266057835467896,condom_reduction,3,50
TestsPerAdult,2025,0,annual_percent_change,undiscounted,-773.7990104877877,-784.347686595842,-591.6162801461334,-934.4870265904513,condom_reduction,3,50
TestsPerAdult,2025,0,baseline,undiscounted,21.21287649483246,20.805929584251988,27.765527995558095,16.883427039709133,condom_reduction,3,50
TestsPerAdult,2025,0,intervention,undiscounted,18.05471170867587,17.602270413353487,24.549009728687174,13.793527064226353,condom_reduction,3,50
TestsPerAdult,2025,0,percent_change,undiscounted,-15.193857622483648,-15.407387519899498,-11.628323852425329,-18.339525942725352,condom_reduction,3,50
TotalAdultsOnART,2025,0,absolute_dif,undiscounted,39520590.9,40575010.5,43037215.75,34224652.9,condom_reduction,3,50
TotalAdultsOnART,2025,0,annual_absolute_dif,undiscounted,39520590.9,40575010.5,43037215.75,34224652.9,condom_reduction,3,50
TotalAdultsOnART,2025,0,annual_percent_change,undiscounted,1015.9649916299171,1038.465427996401,1090.2675614351467,892.5879312612815,condom_reduction,3,50
TotalAdultsOnART,2025,0,baseline,undiscounted,264282562.1,264327349.5,271175070.675,258210826.45,condom_reduction,3,50
TotalAdultsOnART,2025,0,intervention,undiscounted,303803153,301430490,313997262.25,295295281.25,condom_reduction,3,50
TotalAdultsOnART,2025,0,percent_change,undiscounted,14.949989900822882,15.378624056912516,16.087754934189665,12.962449132345073,condom_reduction,3,50
TotalAIDSdeathsadult,2025,0,absolute_dif,undiscounted,315729.223,321939.7050000001,381106.94125000003,236688.91525,condom_reduction,3,50
TotalAIDSdeathsadult,2025,0,annual_absolute_dif,undiscounted,315729.223,321939.705,381106.94125,236688.91525000002,condom_reduction,3,50
TotalAIDSdeathsadult,2025,0,annual_percent_change,undiscounted,1245.8489890181356,1256.519115398161,1402.105073183149,1010.0017215173684,condom_reduction,3,50
TotalAIDSdeathsadult,2025,0,baseline,undiscounted,1751625.607,1756290.19,1872816.1612500001,1639997.56275,condom_reduction,3,50
TotalAIDSdeathsadult,2025,0,intervention,undiscounted,2067354.83,2087865.1,2253923.1025,1894392.6775,condom_reduction,3,50
TotalAIDSdeathsadult,2025,0,percent_change,undiscounted,17.957179961459428,18.229186418091395,20.44608408055487,14.270726651015439,condom_reduction,3,50
TotalHIVtests,2025,0,absolute_dif,undiscounted,-180211820,-180759100,-172579597.5,-186352057.5,condom_reduction,3,50
TotalHIVtests,2025,0,annual_absolute_dif,undiscounted,-180211820,-180759100,-172579597.5,-186352057.5,condom_reduction,3,50
TotalHIVtests,2025,0,annual_percent_change,undiscounted,-776.4586546711419,-787.3154196137925,-593.2880505182175,-937.6891594577254,condom_reduction,3,50
TotalHIVtests,2025,0,baseline,undiscounted,1188882060,1166239200,1559174762.5,945431580,condom_reduction,3,50
TotalHIVtests,2025,0,intervention,undiscounted,1008670240,983305300,1375169870,769387380,condom_reduction,3,50
TotalHIVtests,2025,0,percent_change,undiscounted,-15.470476810087266,-15.696093192084241,-11.844662274259806,-18.65831191169182,condom_reduction,3,50
TotalMMC,2025,0,absolute_dif,undiscounted,-16493998.0118,-16498070.686,-16447907.86735,-16520173.853750002,condom_reduction,3,50
TotalMMC,2025,0,annual_absolute_dif,undiscounted,-16493998.0118,-16498070.686,-16447907.86735,-16520173.853750002,condom_reduction,3,50
TotalMMC,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
TotalMMC,2025,0,baseline,undiscounted,16493998.0118,16498070.686,16520173.853750002,16447907.86735,condom_reduction,3,50
TotalMMC,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
TotalMMC,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
