indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI,future_variability,future_value
AIDS_Mortality,2025,0,absolute_dif,-0.009878155971280833,-0.009038332901930745,-0.010717979040630921,art_improvement,0.105
AIDS_Mortality,2025,0,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,0,intervention,0.253879310008031,0.2552659626580493,0.25249265735801263,art_improvement,0.105
AIDS_Mortality,2025,0,percent_change,-3.742483712251955,-3.455668104820082,-4.029299319683828,art_improvement,0.105
AIDS_Mortality,2025,5,absolute_dif,-0.008197266792550756,-0.007464754674155362,-0.00892977891094615,art_improvement,0.105
AIDS_Mortality,2025,5,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,5,intervention,0.25556019918676104,0.2570541627877341,0.254066235585788,art_improvement,0.105
AIDS_Mortality,2025,5,percent_change,-3.105528051465461,-2.8540211271369675,-3.3570349757939546,art_improvement,0.105
AIDS_Mortality,2025,10,absolute_dif,-0.006390482404493525,-0.005777642535209562,-0.007003322273777488,art_improvement,0.105
AIDS_Mortality,2025,10,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,10,intervention,0.25736698357481824,0.25898061942490275,0.2557533477247338,art_improvement,0.105
AIDS_Mortality,2025,10,percent_change,-2.4208810309930566,-2.2089668245614758,-2.632795237424638,art_improvement,0.105
AIDS_Mortality,2025,15,absolute_dif,-0.004445301548903463,-0.003966900588770224,-0.004923702509036703,art_improvement,0.105
AIDS_Mortality,2025,15,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,15,intervention,0.25931216443040833,0.26106023918964355,0.2575640896711731,art_improvement,0.105
AIDS_Mortality,2025,15,percent_change,-1.683811127741373,-1.5166456931717833,-1.8509765623109626,art_improvement,0.105
AIDS_Mortality,2025,20,absolute_dif,-0.002363318523170288,-0.002036098545931258,-0.002690538500409318,art_improvement,0.105
AIDS_Mortality,2025,20,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,20,intervention,0.26139414745614153,0.2632934031982709,0.25949489171401213,art_improvement,0.105
AIDS_Mortality,2025,20,percent_change,-0.8949298510055749,-0.778423355062399,-1.0114363469487506,art_improvement,0.105
AIDS_Mortality,2025,25,absolute_dif,-1.013887963469684e-4,5.267865333245528e-5,-2.5545624602639206e-4,art_improvement,0.105
AIDS_Mortality,2025,25,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,25,intervention,0.2636560771829648,0.2657284854526538,0.26158366891327584,art_improvement,0.105
AIDS_Mortality,2025,25,percent_change,-0.03789680233307963,0.020195841986258414,-0.09598944665241765,art_improvement,0.105
AIDS_Mortality,2025,30,absolute_dif,0.002342088470305037,0.0023864195859197882,0.002297757354690286,art_improvement,0.105
AIDS_Mortality,2025,30,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,30,intervention,0.26609955444961686,0.2683703612846,0.26382874761463365,art_improvement,0.105
AIDS_Mortality,2025,30,percent_change,0.8878833892252995,0.8971959625949841,0.8785708158556148,art_improvement,0.105
AIDS_Mortality,2025,35,absolute_dif,0.004983033027752742,0.005255497162018992,0.004710568893486493,art_improvement,0.105
AIDS_Mortality,2025,35,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,35,intervention,0.26874049900706454,0.2712394388606992,0.2662415591534299,art_improvement,0.105
AIDS_Mortality,2025,35,percent_change,1.8884310359395,1.9757910941348242,1.801070977744176,art_improvement,0.105
AIDS_Mortality,2025,40,absolute_dif,0.00784040504109551,0.008376084921135682,0.007304725161055339,art_improvement,0.105
AIDS_Mortality,2025,40,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,40,intervention,0.27159787102040733,0.2743600266198159,0.2688357154209987,art_improvement,0.105
AIDS_Mortality,2025,40,percent_change,2.970916222666415,3.1489332315713137,2.7928992137615163,art_improvement,0.105
AIDS_Mortality,2025,45,absolute_dif,0.01093141104550105,0.011771623545446778,0.01009119854555532,art_improvement,0.105
AIDS_Mortality,2025,45,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,45,intervention,0.2746888770248128,0.277755565244127,0.2716221888054987,art_improvement,0.105
AIDS_Mortality,2025,45,percent_change,4.141840975481083,4.425433105665736,3.8582488452964308,art_improvement,0.105
AIDS_Mortality,2025,50,absolute_dif,0.014250274034267513,0.015440651934388233,0.013059896134146792,art_improvement,0.105
AIDS_Mortality,2025,50,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,50,intervention,0.2780077400135793,0.2814245936330685,0.27459088639409013,art_improvement,0.105
AIDS_Mortality,2025,50,percent_change,5.398999542938144,5.804739900745619,4.993259185130669,art_improvement,0.105
AIDS_Mortality,2025,55,absolute_dif,0.01786002986990204,0.019458725992169294,0.016261333747634783,art_improvement,0.105
AIDS_Mortality,2025,55,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_improvement,0.105
AIDS_Mortality,2025,55,intervention,0.2816174958492138,0.2854426676908495,0.27779232400757814,art_improvement,0.105
