indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
AdultARTinterrupters,2025,0,absolute_dif,-58738424.335,-58689333.632199995,-58787515.03780001
AdultARTinterrupters,2025,0,baseline,58738536,58787626.300000004,58689445.699999996
AdultARTinterrupters,2025,0,intervention,111.66499999999999,112.06779999999999,111.26220000000001
AdultARTinterrupters,2025,0,percent_change,-99.99980989403716,-99.99980904940666,-99.99981073866765
AdultInterruptPropn,2025,0,absolute_dif,-8.903824129650001,-8.897995937552501,-8.9096523217475
AdultInterruptPropn,2025,0,baseline,8.903839000000001,8.90966725,8.898010750000001
AdultInterruptPropn,2025,0,intervention,1.4870349999999999e-5,1.49282525e-5,1.4812447499999999e-5
AdultInterruptPropn,2025,0,percent_change,-99.99983298984782,-99.99983244885948,-99.99983353083616
art_interrupt_rate,2025,0,absolute_dif,-11.410010678476702,-11.401304081183106,-11.418717275770298
art_interrupt_rate,2025,0,baseline,11.410026414013663,11.418733010096796,11.40131981793053
art_interrupt_rate,2025,0,intervention,1.5735536960524822e-5,1.5736747423113526e-5,1.573432649793612e-5
art_interrupt_rate,2025,0,percent_change,-99.99986209016907,-99.99986197432608,-99.99986220601207
ARTCoverage_lise,2025,0,absolute_dif,9.833570765721387,9.837591575576775,9.829549955865998
ARTCoverage_lise,2025,0,baseline,40.80116057226906,40.82361153612871,40.778709608409414
ARTCoverage_lise,2025,0,intervention,50.634731337990445,50.65316149199471,50.61630118398619
ARTCoverage_lise,2025,0,percent_change,24.10121765737219,24.12433407217288,24.078101242571503
ARTcoverageDiag,2025,0,absolute_dif,9.838506000000002,9.84190985,9.835102150000004
ARTcoverageDiag,2025,0,baseline,40.785003,40.8059125,40.7640935
ARTcoverageDiag,2025,0,intervention,50.623509,50.64101465,50.60600335
ARTcoverageDiag,2025,0,percent_change,24.122863982351255,24.143577037697572,24.102150927004935
DiagnosedHIV_F,2025,0,absolute_dif,-55188950,-53698865.5,-56679034.5
DiagnosedHIV_F,2025,0,baseline,231647200,232195464,231098936
DiagnosedHIV_F,2025,0,intervention,176458250,177400070.5,175516429.5
DiagnosedHIV_F,2025,0,percent_change,-23.823031224434736,-23.236159724978812,-24.40990272389066
DiagnosedHIV_M,2025,0,absolute_dif,-21017750.5,-20492896.875,-21542604.125
DiagnosedHIV_M,2025,0,baseline,95995627.5,96224639.72500001,95766615.27499999
DiagnosedHIV_M,2025,0,intervention,74977877,75731742.85,74224011.15
DiagnosedHIV_M,2025,0,percent_change,-21.89607067304176,-21.2970868249119,-22.495054521171618
NewAdultHIV,2025,0,absolute_dif,-2932569.5650000004,-2846356.60425,-3018782.5257500005
NewAdultHIV,2025,0,baseline,3788054.4000000004,3881135.2100000004,3694973.59
NewAdultHIV,2025,0,intervention,855484.835,862352.68425,848616.98575
NewAdultHIV,2025,0,percent_change,-77.40606782435613,-77.03218814010607,-77.77994750860618
SWsexActs,2025,0,absolute_dif,65876000,70750450,61001550
SWsexActs,2025,0,baseline,8487000000,8487682100,8486317900
SWsexActs,2025,0,intervention,8552876000,8557068350,8548683650
SWsexActs,2025,0,percent_change,0.7762040126542595,0.8337007074530144,0.7187073178555048
SWsexActsProt,2025,0,absolute_dif,53264850,57003052.5,49526647.5
SWsexActsProt,2025,0,baseline,6864318750,6891822532.5,6836814967.5
SWsexActsProt,2025,0,intervention,6917583600,6941349180,6893818020
SWsexActsProt,2025,0,percent_change,0.7762226090583229,0.8337912217937269,0.7186539963229187
TotalAIDSdeathsadult,2025,0,absolute_dif,-500630.52,-482026.6605,-519234.37950000004
