indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI,future_variability,future_value
AIDS_Mortality,2025,0,absolute_dif,0,0,0,condom_reduction,0
AIDS_Mortality,2025,0,baseline,0.05852538680077868,0.061007328445863054,0.055889265133143684,condom_reduction,0
AIDS_Mortality,2025,0,intervention,0.05852538680077868,0.061007328445863054,0.055889265133143684,condom_reduction,0
AIDS_Mortality,2025,0,percent_change,0,0,0,condom_reduction,0
AIDS_Mortality,2025,25,absolute_dif,0.0018212383760205432,0.0022057178977746552,0.0015360417121961128,condom_reduction,0
AIDS_Mortality,2025,25,baseline,0.05852538680077868,0.061007328445863054,0.055889265133143684,condom_reduction,0
AIDS_Mortality,2025,25,intervention,0.06034662517679922,0.06265953265212929,0.057561224164042045,condom_reduction,0
AIDS_Mortality,2025,25,percent_change,3.113205527038039,3.7546642121144496,2.553853612388452,condom_reduction,0
AIDS_Mortality,2025,50,absolute_dif,0.003900976053002229,0.004741314383972216,0.0032657104336392666,condom_reduction,0
AIDS_Mortality,2025,50,baseline,0.05852538680077868,0.061007328445863054,0.055889265133143684,condom_reduction,0
AIDS_Mortality,2025,50,intervention,0.062426362853780906,0.06450124392058626,0.05946628904988813,condom_reduction,0
AIDS_Mortality,2025,50,percent_change,6.670179898892675,8.072006560732618,5.414519910187259,condom_reduction,0
AIDS_Mortality,2025,75,absolute_dif,0.006196496515468775,0.0075183330809754645,0.005177796583711683,condom_reduction,0
AIDS_Mortality,2025,75,baseline,0.05852538680077868,0.061007328445863054,0.055889265133143684,condom_reduction,0
AIDS_Mortality,2025,75,intervention,0.06472188331624745,0.06683552590563176,0.06163197956368348,condom_reduction,0
AIDS_Mortality,2025,75,percent_change,10.596936437463615,12.82317096135635,8.57857502817468,condom_reduction,0
AIDS_Mortality,2025,100,absolute_dif,0.008580425205702204,0.010341164982552374,0.007230028921783179,condom_reduction,0
AIDS_Mortality,2025,100,baseline,0.05852538680077868,0.061007328445863054,0.055889265133143684,condom_reduction,0
AIDS_Mortality,2025,100,intervention,0.06710581200648089,0.06952368260917814,0.06391185549996142,condom_reduction,0
AIDS_Mortality,2025,100,percent_change,14.673561651845372,17.659255955517704,11.979137486119594,condom_reduction,0
ANCtestPos,2025,0,absolute_dif,0,0,0,condom_reduction,0
ANCtestPos,2025,0,baseline,0.27938738,0.3066981975,0.2649863875,condom_reduction,0
ANCtestPos,2025,0,intervention,0.27938738,0.3066981975,0.2649863875,condom_reduction,0
ANCtestPos,2025,0,percent_change,0,0,0,condom_reduction,0
ANCtestPos,2025,25,absolute_dif,0.016213860000000007,0.017994120000000044,0.014626489999999978,condom_reduction,0
ANCtestPos,2025,25,baseline,0.27938738,0.3066981975,0.2649863875,condom_reduction,0
ANCtestPos,2025,25,intervention,0.29560124,0.32283628499999995,0.281814885,condom_reduction,0
ANCtestPos,2025,25,percent_change,5.813778820540096,6.448804741292037,5.064992715608585,condom_reduction,0
ANCtestPos,2025,50,absolute_dif,0.03592905,0.03964755750000002,0.03255742499999999,condom_reduction,0
ANCtestPos,2025,50,baseline,0.27938738,0.3066981975,0.2649863875,condom_reduction,0
ANCtestPos,2025,50,intervention,0.31531643,0.34198806000000004,0.301250385,condom_reduction,0
ANCtestPos,2025,50,percent_change,12.887050675693608,14.544336064785899,11.110903866359802,condom_reduction,0
ANCtestPos,2025,75,absolute_dif,0.05968022,0.06598662250000001,0.0545887025,condom_reduction,0
ANCtestPos,2025,75,baseline,0.27938738,0.3066981975,0.2649863875,condom_reduction,0
ANCtestPos,2025,75,intervention,0.3390676,0.36454088749999997,0.32439310750000006,condom_reduction,0
ANCtestPos,2025,75,percent_change,21.41308983852606,24.55308457012653,18.346237191949584,condom_reduction,0
ANCtestPos,2025,100,absolute_dif,0.08680056,0.09619417499999999,0.08074223000000001,condom_reduction,0
ANCtestPos,2025,100,baseline,0.27938738,0.3066981975,0.2649863875,condom_reduction,0
ANCtestPos,2025,100,intervention,0.36618794,0.3906418275,0.34899864249999996,condom_reduction,0
ANCtestPos,2025,100,percent_change,31.15003363109802,35.808827193938356,26.82016260935914,condom_reduction,0
ARTcoverageDiagF,2025,0,absolute_dif,0,0,0,condom_reduction,0
ARTcoverageDiagF,2025,0,baseline,9.0163079,9.03290425,8.997406475000002,condom_reduction,0
ARTcoverageDiagF,2025,0,intervention,9.0163079,9.03290425,8.997406475000002,condom_reduction,0
ARTcoverageDiagF,2025,0,percent_change,0,0,0,condom_reduction,0
ARTcoverageDiagF,2025,25,absolute_dif,-0.004102199999999634,-5.029000000010159e-4,-0.008610424999998978,condom_reduction,0
ARTcoverageDiagF,2025,25,baseline,9.0163079,9.03290425,8.997406475000002,condom_reduction,0
ARTcoverageDiagF,2025,25,intervention,9.0122057,9.026803525,8.996323525000001,condom_reduction,0
ARTcoverageDiagF,2025,25,percent_change,-0.045472580336700305,-0.00558112324953833,-0.09539162832780432,condom_reduction,0
ARTcoverageDiagF,2025,50,absolute_dif,-0.0016991000000000866,0.004062024999998615,-0.009302099999998691,condom_reduction,0
ARTcoverageDiagF,2025,50,baseline,9.0163079,9.03290425,8.997406475000002,condom_reduction,0
ARTcoverageDiagF,2025,50,intervention,9.0146088,9.0272554,9.0005964,condom_reduction,0
ARTcoverageDiagF,2025,50,percent_change,-0.01880058650328613,0.04513808713033404,-0.10305637083048962,condom_reduction,0
ARTcoverageDiagF,2025,75,absolute_dif,0.009199100000000193,0.014876474999999579,0.0013578250000007676,condom_reduction,0
