year,indicator,mean,upper_CI,lower_CI
1985,HIVinc0to14,1.148359945e-5,1.68416525e-5,6.80618225e-6
1985,HIVinc15to24,1.268033761e-4,1.8544e-4,7.72842e-5
1985,HIVinc15to24F,1.8452252e-4,2.68804e-4,1.12373e-4
1985,HIVinc15to24M,6.84703178e-5,9.985349749999996e-5,4.18197e-5
1985,HIVinc15to49,1.351478016e-4,1.9983e-4,8.46752e-5
1985,HIVinc15to49F,1.30011167e-4,1.88731e-4,8.02065e-5
1985,HIVinc15to49M,1.403670914e-4,2.0906339999999997e-4,8.92161e-5
1985,HIVinc25to49,1.408709883e-4,2.07665925e-4,8.97445e-5
1985,HIVinc25to49F,9.27909697e-5,1.3289092499999995e-4,5.82429e-5
1985,HIVinc25to49M,1.899065696e-4,2.811185249999999e-4,1.21872e-4
1985,HIVinc50,1.57442186e-5,2.3203697499999996e-5,1.02106e-5
1985,HIVinc50F,5.16124453e-6,7.450918499999998e-6,3.3465e-6
1985,HIVinc50M,2.82336242e-5,4.15894e-5,1.83113e-5
1985,HIVincClients,3.23258616e-4,4.82076e-4,2.10569e-4
1985,HIVincFSW,0.00626004605,0.009141666249999998,0.00398353
1985,HIVincMSM,4.46210797e-4,6.8815e-4,2.49775e-4
1985,NewHIV15to24,807.405503,1180.7,492.133
1985,NewHIV15to24F,590.570479,860.238,359.692
1985,NewHIV15to24M,216.8350116,316.20799999999986,132.441
1985,NewHIV15to49,2115.17531,3127.29,1325.35
1985,NewHIV15to49F,1025.518549,1488.57,632.723
1985,NewHIV15to49M,1089.656734,1622.7992499999998,692.629
1985,NewHIV25to49,1307.770031,1927.6419999999998,833.219
1985,NewHIV25to49F,434.948059,622.8574999999998,273.031
1985,NewHIV25to49M,872.821789,1291.8787499999999,560.188
1985,NewHIV50,60.9769561,89.86728999999998,39.5455
1985,NewHIV50F,10.82052933,15.620824999999996,7.01593
1985,NewHIV50M,50.1564229,73.8827,32.5296
1985,NewHIVclients,833.413345,1242.42,542.996
1985,NewHIVinFSW,340.707579,497.2697499999999,216.897
1985,NewHIVinMSM,76.8355435,118.479,43.021
1985,NewHIVU15,146.7546863,215.22794999999996,86.9796275
1986,HIVinc0to14,3.11229294e-5,4.5660312500000005e-5,1.99216e-5
1986,HIVinc15to24,4.07737632e-4,5.812021249999998e-4,2.70203e-4
1986,HIVinc15to24F,5.97077174e-4,8.440047499999998e-4,3.96975e-4
1986,HIVinc15to24M,2.15130111e-4,3.03936e-4,1.41228e-4
1986,HIVinc15to49,5.04607376e-4,7.142167999999993e-4,3.46438e-4
1986,HIVinc15to49F,4.5787079e-4,6.454362249999997e-4,3.10251e-4
1986,HIVinc15to49M,5.52265963e-4,7.59333e-4,3.8334e-4
1986,HIVinc25to49,5.70007692e-4,7.92112e-4,3.97905e-4
1986,HIVinc25to49F,3.64076242e-4,5.115278e-4,2.50984e-4
1986,HIVinc25to49M,7.80345822e-4,0.00107576,5.4666e-4
1986,HIVinc50,6.62148536e-5,9.109479749999999e-5,4.68513e-5
1986,HIVinc50F,2.1798822800000002e-5,3.04484625e-5,1.5557e-5
1986,HIVinc50M,1.192329511e-4,1.64776e-4,8.38745e-5
1986,HIVincClients,0.001445393186,0.00199783,0.00101569
1986,HIVincFSW,0.0216299028,0.030531872499999994,0.0151352
1986,HIVincMSM,0.001063910404,0.0016978177499999997,5.8177e-4
1986,NewHIV15to24,2635.09592,3755.642749999999,1746.43
1986,NewHIV15to24F,1945.88049,2750.055749999999,1293.96
1986,NewHIV15to24M,689.215135,973.649,452.477
1986,NewHIV15to49,8091.47419,11450.61999999999,5555.95
1986,NewHIV15to49F,3706.88099,5224.436749999998,2512.13
1986,NewHIV15to49M,4384.59328,6027.97,3043.83
1986,NewHIV25to49,5456.37753,7580.53,3809.52
1986,NewHIV25to49F,1760.99979,2473.7875,1214.15
1986,NewHIV25to49M,3695.37779,5093.64,2589.17
1986,NewHIV50,264.874529,364.3975749999999,187.418
1986,NewHIV50F,47.4494177,66.27679499999999,33.8631
1986,NewHIV50M,217.425075,300.47,152.95
1986,NewHIVclients,3812.5144,5268.19,2679.98
1986,NewHIVinFSW,1170.2357279999999,1647.3477499999995,821.005
1986,NewHIVinMSM,185.7290278,296.3116999999999,101.605
1986,NewHIVU15,406.19096,595.9168999999999,260.002
1987,HIVinc0to14,7.95428107e-5,1.1101752499999997e-4,5.5546555e-5
1987,HIVinc15to24,0.001021477435,0.0013861419999999988,7.38555e-4
1987,HIVinc15to24F,0.00149429655,0.002042100749999999,0.00108536
1987,HIVinc15to24M,5.37835893e-4,7.2028185e-4,3.83729e-4
1987,HIVinc15to49,0.00128419879,0.0017009150000000001,9.56292e-4
1987,HIVinc15to49F,0.001173650107,0.0015852707499999993,8.70249e-4
1987,HIVinc15to49M,0.001397370904,0.00188997,0.00102949
1987,HIVinc25to49,0.001459241613,0.00194182,0.00108290325
1987,HIVinc25to49F,9.60157847e-4,0.00129666275,7.23115e-4
1987,HIVinc25to49M,0.00197044658,0.00267961,0.00145953
1987,HIVinc50,1.642162585e-4,2.23883e-4,1.2155442499999999e-4
1987,HIVinc50F,5.60469869e-5,7.382820249999999e-5,4.29255775e-5
1987,HIVinc50M,2.94794236e-4,4.02488e-4,2.18714e-4
1987,HIVincClients,0.00365462399,0.00498298,0.00273523
1987,HIVincFSW,0.047363815,0.06418070749999999,0.0342606
1987,HIVincMSM,0.002224431539,0.00376852,0.00121343
1987,NewHIV15to24,6708.62927,9101.601999999995,4851.59
1987,NewHIV15to24F,4962.47496,6779.382749999996,3605.64
1987,NewHIV15to24M,1746.1538659999999,2338.272,1245.95
1987,NewHIV15to49,21092.7539,27928.9825,15711.3
1987,NewHIV15to49F,9751.5106,13168.139999999994,7232.76
1987,NewHIV15to49M,11341.24332,15335.4,8357.99
1987,NewHIV25to49,14384.12435,19135.8,10677.815
1987,NewHIV25to49F,4789.03668,6465.47125,3607.61
1987,NewHIV25to49M,9595.09172,13043.4,7110.22
1987,NewHIV50,678.395517,924.855,502.17075
1987,NewHIV50F,126.6341439,166.80742499999997,96.988645
1987,NewHIV50M,551.761308,753.281,409.388
1987,NewHIVclients,9839.09,13404,7370.22
1987,NewHIVinFSW,2603.22429,3495.1397499999994,1895.34
1987,NewHIVinMSM,393.874349,666.784,215.057
1987,NewHIVU15,1057.880369,1476.4622499999996,738.753425
1988,HIVinc0to14,1.76541216e-4,2.3897037499999994e-4,1.332424e-4
1988,HIVinc15to24,0.00212148831,0.0027735865,0.00165479
1988,HIVinc15to24F,0.00307851047,0.004052818,0.0024152
1988,HIVinc15to24M,0.001138953001,0.00146688,8.707374e-4
1988,HIVinc15to49,0.0025611567,0.00327361,0.002015959
1988,HIVinc15to49F,0.00240151007,0.0031391622500000003,0.001900472
1988,HIVinc15to49M,0.00272523587,0.0035589589999999996,0.00215507
1988,HIVinc25to49,0.00285102001,0.0036949,0.0022361
1988,HIVinc25to49F,0.00195556669,0.002465677,0.00156902375
1988,HIVinc25to49M,0.00377196618,0.00488713925,0.00290667
1988,HIVinc50,3.07733337e-4,3.98481775e-4,2.31115e-4
1988,HIVinc50F,1.107026222e-4,1.40254875e-4,8.47729e-5
1988,HIVinc50M,5.480909880000001e-4,7.1604e-4,4.09769e-4
1988,HIVincClients,0.00683777241,0.00899457,0.00502198
1988,HIVincFSW,0.0793879281,0.102855,0.0574109
1988,HIVincMSM,0.00458976871,0.007794479499999998,0.00246984625
1988,NewHIV15to24,14176.48507,18524.805,11062.6
1988,NewHIV15to24F,10421.11632,13708.602499999999,8181.39
1988,NewHIV15to24M,3755.37042,4835.8,2871.5425
1988,NewHIV15to49,43074.043,55024.2,33929.245
1988,NewHIV15to49F,20470.8596,26732.4,16209.975
1988,NewHIV15to49M,22603.1804,29493.17,17885.9
1988,NewHIV25to49,28897.5512,37421.155,22674.3
1988,NewHIV25to49F,10049.747,12663.912499999999,8067.50675
1988,NewHIV25to49M,18847.8088,24400.399999999998,14532.8
1988,NewHIV50,1312.187059,1698.99175,985.55
1988,NewHIV50F,259.399766,328.63,198.647
1988,NewHIV50M,1052.787295,1375.09,787.19
1988,NewHIVclients,18734.8292,24566.2,13776.7
1988,NewHIVinFSW,4355.56836,5531.467999999999,3202.71
1988,NewHIVinMSM,824.965678,1397.4782499999997,444.78065
1988,NewHIVU15,2386.31814,3230.0374999999985,1801.1147500000002
1989,HIVinc0to14,3.38061056e-4,4.382831249999998e-4,2.7123097499999997e-4
1989,HIVinc15to24,0.00378922828,0.004655703749999999,0.00312274
1989,HIVinc15to24F,0.00543689017,0.006869632499999999,0.00448025
1989,HIVinc15to24M,0.0020951127,0.0026262534999999996,0.00168967
1989,HIVinc15to49,0.00426286923,0.005225578999999999,0.00351618
1989,HIVinc15to49F,0.0041344408,0.0050686312499999995,0.00343798725
1989,HIVinc15to49M,0.00439538659,0.0054318425,0.0035235
1989,HIVinc25to49,0.00457267312,0.00559825,0.00360993
1989,HIVinc25to49F,0.00328491589,0.00396633625,0.0026731
1989,HIVinc25to49M,0.00590430634,0.00727797275,0.00457789
1989,HIVinc50,4.7364014e-4,5.84202575e-4,3.6528002499999995e-4
1989,HIVinc50F,1.83216064e-4,2.2082669999999997e-4,1.446169e-4
1989,HIVinc50M,8.31410858e-4,0.00103332,6.24041325e-4
1989,HIVincClients,0.01029406935,0.0127734,0.00752758
1989,HIVincFSW,0.1099503798,0.137088,0.0813305975
1989,HIVincMSM,0.00915584247,0.015620639999999993,0.005014113500000001
1989,NewHIV15to24,25780.7086,31637.704999999998,21262.9
1989,NewHIV15to24F,18752.5579,23660.752499999995,15472.2
1989,NewHIV15to24M,7028.1476,8806.649749999999,5670.24
1989,NewHIV15to49,73345.2099,89799.53749999999,60545.2
1989,NewHIV15to49F,36123.3116,44232.2025,30076.6625
1989,NewHIV15to49M,37221.893,45951.5225,29866.2
1989,NewHIV25to49,47564.5008,58125.8,37589.7
1989,NewHIV25to49F,17370.758,20947.4575,14144.8
1989,NewHIV25to49M,30193.7485,37119.0275,23444.9
1989,NewHIV50,2081.71797,2567.3285,1605.7662500000001
1989,NewHIV50F,444.463438,535.6675749999999,350.85450000000003
1989,NewHIV50M,1637.254225,2034.18,1229.3290000000002
