indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI,future_variability,future_value
AIDS_Mortality,2025,0,absolute_dif,0.00636881070985712,0.006777575047669393,0.005960046372044846,art_deterioration,0.055
AIDS_Mortality,2025,0,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,0,intervention,0.2701262766891689,0.27276151674634963,0.2674910366319882,art_deterioration,0.055
AIDS_Mortality,2025,0,percent_change,2.4133876049987513,2.5479926473449557,2.278782562652547,art_deterioration,0.055
AIDS_Mortality,2025,5,absolute_dif,0.009320052073094304,0.009954739567433993,0.008685364578754615,art_deterioration,0.055
AIDS_Mortality,2025,5,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,5,intervention,0.2730775180524061,0.2759386812661142,0.270216354838698,art_deterioration,0.055
AIDS_Mortality,2025,5,percent_change,3.5315971261247405,3.7424185865736455,3.320775665675836,art_deterioration,0.055
AIDS_Mortality,2025,10,absolute_dif,0.012462644386616956,0.013349252441697707,0.011576036331536204,art_deterioration,0.055
AIDS_Mortality,2025,10,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,10,intervention,0.27622011036592875,0.27933319414037794,0.27310702659147956,art_deterioration,0.055
AIDS_Mortality,2025,10,percent_change,4.722268246589916,5.0185510063083765,4.425985486871456,art_deterioration,0.055
AIDS_Mortality,2025,15,absolute_dif,0.015809402792872268,0.016977088643927205,0.014641716941817332,art_deterioration,0.055
AIDS_Mortality,2025,15,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,15,intervention,0.27956686877218406,0.2829610303426074,0.27617270720176074,art_deterioration,0.055
AIDS_Mortality,2025,15,percent_change,5.990248828061549,6.382394851882359,5.598102804240739,art_deterioration,0.055
AIDS_Mortality,2025,20,absolute_dif,0.019348160281387722,0.020827087244428433,0.01786923331834701,art_deterioration,0.055
AIDS_Mortality,2025,20,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,20,intervention,0.2831056262606995,0.28681102894310867,0.27940022357829036,art_deterioration,0.055
AIDS_Mortality,2025,20,percent_change,7.330921984306186,7.829753651561244,6.832090317051128,art_deterioration,0.055
AIDS_Mortality,2025,25,absolute_dif,0.023141536857239936,0.02496994478235313,0.02131312893212674,art_deterioration,0.055
AIDS_Mortality,2025,25,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,25,intervention,0.28689900283655173,0.2909538864810333,0.28284411919207014,art_deterioration,0.055
AIDS_Mortality,2025,25,percent_change,8.76800245681375,9.38720406814054,8.148800845486958,art_deterioration,0.055
AIDS_Mortality,2025,30,absolute_dif,0.027180062748543204,0.029398144531813126,0.024961980965273283,art_deterioration,0.055
AIDS_Mortality,2025,30,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,30,intervention,0.290937528727855,0.29538208623049333,0.28649297122521666,art_deterioration,0.055
AIDS_Mortality,2025,30,percent_change,10.297892702474122,11.051919397134101,9.543866007814144,art_deterioration,0.055
AIDS_Mortality,2025,35,absolute_dif,0.03147694667576961,0.034129599513590014,0.02882429383794921,art_deterioration,0.055
AIDS_Mortality,2025,35,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,35,intervention,0.29523441265508144,0.30011354121227024,0.2903552840978926,art_deterioration,0.055
AIDS_Mortality,2025,35,percent_change,11.92558433700457,12.830632688641158,11.020535985367983,art_deterioration,0.055
AIDS_Mortality,2025,40,absolute_dif,0.036047601275773056,0.039184671344763056,0.032910531206783056,art_deterioration,0.055
AIDS_Mortality,2025,40,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,40,intervention,0.2998050672550848,0.3051686130434433,0.2944415214667264,art_deterioration,0.055
AIDS_Mortality,2025,40,percent_change,13.65690375880656,14.730997495741713,12.582810021871406,art_deterioration,0.055
AIDS_Mortality,2025,45,absolute_dif,0.04090441979651885,0.04458167397187605,0.03722716562116165,art_deterioration,0.055
AIDS_Mortality,2025,45,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,45,intervention,0.30466188577583064,0.3105656156705563,0.298758155881105,art_deterioration,0.055
AIDS_Mortality,2025,45,percent_change,15.496529070135217,16.759897182159445,14.233160958110995,art_deterioration,0.055
AIDS_Mortality,2025,50,absolute_dif,0.04602267567835386,0.0502978327478655,0.04174751860884222,art_deterioration,0.055
AIDS_Mortality,2025,50,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,50,intervention,0.30978014165766565,0.3162817744465457,0.3032785088687856,art_deterioration,0.055
AIDS_Mortality,2025,50,percent_change,17.435077874813857,18.90876859274061,15.9613871568871,art_deterioration,0.055
AIDS_Mortality,2025,55,absolute_dif,0.05148205609155301,0.056427901991468514,0.04653621019163751,art_deterioration,0.055
AIDS_Mortality,2025,55,baseline,0.2637574659793118,0.2659839416986802,0.26153099025994336,art_deterioration,0.055
AIDS_Mortality,2025,55,intervention,0.3152395220708648,0.3224118436901487,0.3080672004515809,art_deterioration,0.055
AIDS_Mortality,2025,55,percent_change,19.502711413252197,21.213230866769706,17.792191959734687,art_deterioration,0.055
