cost_source,test_reduction,discount,mean_cost,cumulative_years,proportion_total,percentage_total
total,0,3%,7656243224.655704,5,1,100
total,0,6%,7207477044.687206,5,1,100
total,0,undiscounted,8133284407.656107,5,1,100
total,25,3%,7557237098.407562,5,1,100
total,25,6%,7115584930.4278755,5,1,100
total,25,undiscounted,8026696975.344458,5,1,100
total,50,3%,7470355212.566671,5,1,100
total,50,6%,7034850134.628906,5,1,100
total,50,undiscounted,7933264186.934323,5,1,100
total,75,3%,7395609411.829773,5,1,100
total,75,6%,6965272979.693584,5,1,100
total,75,undiscounted,7853010712.249887,5,1,100
total,100,3%,7333438999.464628,5,1,100
total,100,6%,6907251989.2540455,5,1,100
total,100,undiscounted,7786420159.935861,5,1,100
total,0,3%,14377476042.059969,10,1,100
total,0,6%,12617022717.566875,10,1,100
total,0,undiscounted,16444827441.806423,10,1,100
total,25,3%,14166410793.203648,10,1,100
total,25,6%,12434867090.552078,10,1,100
total,25,undiscounted,16199777170.98732,10,1,100
total,50,3%,13978494049.37807,10,1,100
total,50,6%,12272782775.141384,10,1,100
total,50,undiscounted,15981453375.605007,10,1,100
total,75,3%,13813709019.0574,10,1,100
total,75,6%,12130765918.570105,10,1,100
total,75,undiscounted,15789816935.152525,10,1,100
total,100,3%,13674435248.109016,10,1,100
total,100,6%,12010777973.56865,10,1,100
total,100,undiscounted,15627748403.41093,10,1,100
total,0,3%,28794191965.856285,25,1,100
total,0,6%,21338005940.718506,25,1,100
total,0,undiscounted,40320870394.64358,25,1,100
total,25,3%,28416015201.098976,25,1,100
total,25,6%,21050982077.598648,25,1,100
total,25,undiscounted,39809500725.59428,25,1,100
total,50,3%,28095288417.005424,25,1,100
total,50,6%,20803820626.507694,25,1,100
total,50,undiscounted,39384348380.324005,25,1,100
total,75,3%,27824865068.169655,25,1,100
total,75,6%,20592377587.44104,25,1,100
total,75,undiscounted,39033110450.87567,25,1,100
total,100,3%,27600672872.726284,25,1,100
total,100,6%,20415235514.363636,25,1,100
total,100,undiscounted,38746544475.89407,25,1,100
total,0,3%,38374809317.53,50,1,100
total,0,6%,24692348517.985756,50,1,100
total,0,undiscounted,67993988236.60131,50,1,100
total,25,3%,38057871260.77121,50,1,100
total,25,6%,24420743889.239567,50,1,100
total,25,undiscounted,67714363716.196945,50,1,100
