cumulative_years,scenario,indicator,pitc_reduction_year,test_reduction,discount,cumulative_mean,year,percentage_change_baseline
5,Total,Total,2025,25,3%,-95389915.87490423,2029,-1.2356810398986662
10,Total,Total,2025,25,3%,-202957294.67249638,2034,-1.3995813207760346
25,Total,Total,2025,25,3%,-363843973.4379916,2049,-1.2519251879358795
50,Total,Total,2025,25,3%,-308847056.4671853,2074,-0.7963816609150499
5,Total,Total,2025,25,6%,-88556528.89910063,2029,-1.2186018654943114
10,Total,Total,2025,25,6%,-175203497.8507156,2034,-1.3768225952704838
25,Total,Total,2025,25,6%,-276118672.3404609,2049,-1.2822919939373725
50,Total,Total,2025,25,6%,-262449278.2420661,2074,-1.0525738008719998
5,Total,Total,2025,25,undiscounted,-102671898.88246965,2029,-1.2519891024138694
10,Total,Total,2025,25,undiscounted,-235582320.67063066,2034,-1.4202802110260921
25,Total,Total,2025,25,undiscounted,-492108835.41445744,2049,-1.2089847583989317
50,Total,Total,2025,25,undiscounted,-282410396.9885484,2074,-0.4105278217333087
5,Total,Total,2025,50,3%,-180607470.62743923,2029,-2.3395893063901494
10,Total,Total,2025,50,3%,-387116139.8027492,2034,-2.6695296619573714
25,Total,Total,2025,50,3%,-678926589.3253872,2049,-2.336070843511462
50,Total,Total,2025,50,3%,-472440452.6368659,2074,-1.218217575579778
5,Total,Total,2025,50,6%,-167747269.7376478,2029,-2.3083237156549288
10,Total,Total,2025,50,6%,-334061358.21212405,2034,-2.6251943131015567
25,Total,Total,2025,50,6%,-518735275.22422796,2049,-2.409000755924092
50,Total,Total,2025,50,6%,-461087159.97331655,2074,-1.8492268973159625
5,Total,Total,2025,50,undiscounted,-194312269.57944927,2029,-2.3694588940763612
10,Total,Total,2025,50,undiscounted,-449520945.1837277,2034,-2.7100747673625674
25,Total,Total,2025,50,undiscounted,-910243728.7572888,2049,-2.236234579224633
50,Total,Total,2025,50,undiscounted,-180090970.88935035,2074,-0.26179048215437917
5,Total,Total,2025,75,3%,-255730636.98714605,2029,-3.312734858269862
10,Total,Total,2025,75,3%,-553169351.9913688,2034,-3.8146226452328595
25,Total,Total,2025,75,3%,-953034919.1047354,2049,-3.279230954234814
50,Total,Total,2025,75,3%,-496059855.45647836,2074,-1.2791216990073007
5,Total,Total,2025,75,6%,-237652122.1470279,2029,-3.2702650271784908
10,Total,Total,2025,75,6%,-477126590.33676636,2034,-3.7494609322227097
25,Total,Total,2025,75,6%,-732615371.2822567,2049,-3.402257504962786
50,Total,Total,2025,75,6%,-600285952.7737631,2074,-2.407494778241976
5,Total,Total,2025,75,undiscounted,-274996688.5184979,2029,-3.353330959809936
10,Total,Total,2025,75,undiscounted,-642684363.0725282,2034,-3.8746196242968542
25,Total,Total,2025,75,undiscounted,-1267216812.2497382,2049,-3.1132255739861177
50,Total,Total,2025,75,undiscounted,305919575.15156114,2074,0.4447021007432746
5,Total,Total,2025,100,3%,-320402679.54826653,2029,-4.150496544831118
10,Total,Total,2025,100,3%,-699853185.8762968,2034,-4.82614555844688
25,Total,Total,2025,100,3%,-1192488473.07883,2049,-4.103149879504638
50,Total,Total,2025,100,3%,-405707933.11048645,2074,-1.0461435550423324
5,Total,Total,2025,100,6%,-297945311.5522548,2029,-4.099942906372755
10,Total,Total,2025,100,6%,-603332129.8827267,2034,-4.741237013332902
25,Total,Total,2025,100,6%,-920910070.7307967,2049,-4.276695961287082
50,Total,Total,2025,100,6%,-689543453.4536767,2074,-2.765469116660001
5,Total,Total,2025,100,undiscounted,-344334864.69619566,2029,-4.198846060831922
10,Total,Total,2025,100,undiscounted,-813577822.6063607,2034,-4.904903212975116
25,Total,Total,2025,100,undiscounted,-1575093991.13063,2049,-3.8696005665472133
50,Total,Total,2025,100,undiscounted,1101689212.6950278,2074,1.601478123813951
5,Total,Testing,2025,25,3%,-73123100.10716765,2029,-0.9472366921838412
10,Total,Testing,2025,25,3%,-153538323.5343303,2034,-1.0587910623694214
25,Total,Testing,2025,25,3%,-355147355.76521605,2049,-1.2220016066504207
50,Total,Testing,2025,25,3%,-564892512.5963258,2074,-1.4566110571551973
5,Total,Testing,2025,25,6%,-68086662.88101186,2029,-0.9369217090319579
10,Total,Testing,2025,25,6%,-132750128.95039944,2034,-1.043206210527342
25,Total,Testing,2025,25,6%,-253465192.81946552,2049,-1.1770894910484
50,Total,Testing,2025,25,6%,-323645909.4210507,2074,-1.2980077800091592
5,Total,Testing,2025,25,undiscounted,-78482760.397878,2029,-0.9570248706316568
10,Total,Testing,2025,25,undiscounted,-178012130.0896693,2034,-1.0732006755398213
25,Total,Testing,2025,25,undiscounted,-515325234.7399936,2049,-1.2660214765180793
50,Total,Testing,2025,25,undiscounted,-1151074853.718342,2074,-1.6732679015643306
5,Total,Testing,2025,50,3%,-135918291.0067836,2029,-1.7606856409514628
10,Total,Testing,2025,50,3%,-282305877.0740085,2034,-1.946764381815643
25,Total,Testing,2025,50,3%,-648642431.7743429,2049,-2.2318682116104216
50,Total,Testing,2025,50,3%,-1030252072.999626,2074,-2.6565701044451755
5,Total,Testing,2025,50,6%,-126680972.19207227,2029,-1.743221769811938
10,Total,Testing,2025,50,6%,-244399028.9288055,2034,-1.9205901104671903
25,Total,Testing,2025,50,6%,-463744355.95381,2049,-2.1536235482835764
50,Total,Testing,2025,50,6%,-591415213.5124004,2074,-2.371917969635686
