year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI,future_variability,future_value
1985,baseline,TotalHIVtests,2025,25,10.446859,13.2278575,6.848366,condom_reduction,28
1985,baseline,TotalHIVtests,2025,50,10.446859,13.2278575,6.848366,condom_reduction,28
1985,baseline,TotalHIVtests,2025,75,10.446859,13.2278575,6.848366,condom_reduction,28
1985,baseline,TotalHIVtests,2025,100,10.446859,13.2278575,6.848366,condom_reduction,28
1985,baseline,TotANCtests,2025,0,0,0,0,condom_reduction,28
1985,baseline,TotANCtests,2025,25,0,0,0,condom_reduction,28
1985,baseline,TotANCtests,2025,50,0,0,0,condom_reduction,28
1985,baseline,TotANCtests,2025,75,0,0,0,condom_reduction,28
1985,baseline,TotANCtests,2025,100,0,0,0,condom_reduction,28
1985,baseline,TotHIV15,2025,0,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,baseline,TotHIV15,2025,25,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,baseline,TotHIV15,2025,50,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,baseline,TotHIV15,2025,75,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,baseline,TotHIV15,2025,100,2844.62,3624.9705000000004,1850.4765000000002,condom_reduction,28
1985,baseline,TotProtSexActs,2025,0,9033134,9781027.5,8536817,condom_reduction,28
1985,baseline,TotProtSexActs,2025,25,9033134,9781027.5,8536817,condom_reduction,28
1985,baseline,TotProtSexActs,2025,50,9033134,9781027.5,8536817,condom_reduction,28
1985,baseline,TotProtSexActs,2025,75,9033134,9781027.5,8536817,condom_reduction,28
1985,baseline,TotProtSexActs,2025,100,9033134,9781027.5,8536817,condom_reduction,28
1985,baseline,TotSexActs,2025,0,287397100,292137875,284949900,condom_reduction,28
1985,baseline,TotSexActs,2025,25,287397100,292137875,284949900,condom_reduction,28
1985,baseline,TotSexActs,2025,50,287397100,292137875,284949900,condom_reduction,28
1985,baseline,TotSexActs,2025,75,287397100,292137875,284949900,condom_reduction,28
1985,baseline,TotSexActs,2025,100,287397100,292137875,284949900,condom_reduction,28
1985,baseline,VLsuppressed15,2025,0,NA,NA,NA,condom_reduction,28
1985,baseline,VLsuppressed15,2025,25,NA,NA,NA,condom_reduction,28
1985,baseline,VLsuppressed15,2025,50,NA,NA,NA,condom_reduction,28
1985,baseline,VLsuppressed15,2025,75,NA,NA,NA,condom_reduction,28
1985,baseline,VLsuppressed15,2025,100,NA,NA,NA,condom_reduction,28
1985,baseline,VLunsuppressed15,2025,0,NA,NA,NA,condom_reduction,28
1985,baseline,VLunsuppressed15,2025,25,NA,NA,NA,condom_reduction,28
1985,baseline,VLunsuppressed15,2025,50,NA,NA,NA,condom_reduction,28
1985,baseline,VLunsuppressed15,2025,75,NA,NA,NA,condom_reduction,28
1985,baseline,VLunsuppressed15,2025,100,NA,NA,NA,condom_reduction,28
1985,intervention,AIDS_Mortality,2025,0,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,intervention,AIDS_Mortality,2025,25,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,intervention,AIDS_Mortality,2025,50,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,intervention,AIDS_Mortality,2025,75,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,intervention,AIDS_Mortality,2025,100,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,intervention,AIDSdeathsAdultF,2025,0,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,intervention,AIDSdeathsAdultF,2025,25,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,intervention,AIDSdeathsAdultF,2025,50,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,intervention,AIDSdeathsAdultF,2025,75,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,intervention,AIDSdeathsAdultF,2025,100,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,intervention,AIDSdeathsAdultM,2025,0,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,intervention,AIDSdeathsAdultM,2025,25,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,intervention,AIDSdeathsAdultM,2025,50,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,intervention,AIDSdeathsAdultM,2025,75,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,intervention,AIDSdeathsAdultM,2025,100,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,intervention,ANCtestPos,2025,0,NA,NA,NA,condom_reduction,28
1985,intervention,ANCtestPos,2025,25,NA,NA,NA,condom_reduction,28
1985,intervention,ANCtestPos,2025,50,NA,NA,NA,condom_reduction,28
1985,intervention,ANCtestPos,2025,75,NA,NA,NA,condom_reduction,28
1985,intervention,ANCtestPos,2025,100,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageAdult,2025,0,0,0,0,condom_reduction,28
1985,intervention,ARTcoverageAdult,2025,25,0,0,0,condom_reduction,28
1985,intervention,ARTcoverageAdult,2025,50,0,0,0,condom_reduction,28
1985,intervention,ARTcoverageAdult,2025,75,0,0,0,condom_reduction,28
1985,intervention,ARTcoverageAdult,2025,100,0,0,0,condom_reduction,28
1985,intervention,ARTcoverageDiagF,2025,0,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagF,2025,25,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagF,2025,50,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagF,2025,75,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagF,2025,100,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagM,2025,0,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagM,2025,25,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagM,2025,50,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagM,2025,75,NA,NA,NA,condom_reduction,28
1985,intervention,ARTcoverageDiagM,2025,100,NA,NA,NA,condom_reduction,28
1985,intervention,CondomUsage,2025,0,3.143353162270689,3.4182543089504556,2.9795052475994734,condom_reduction,28
1985,intervention,CondomUsage,2025,25,3.143353162270689,3.4182543089504556,2.9795052475994734,condom_reduction,28
1985,intervention,CondomUsage,2025,50,3.143353162270689,3.4182543089504556,2.9795052475994734,condom_reduction,28
1985,intervention,CondomUsage,2025,75,3.143353162270689,3.4182543089504556,2.9795052475994734,condom_reduction,28
1985,intervention,CondomUsage,2025,100,3.143353162270689,3.4182543089504556,2.9795052475994734,condom_reduction,28
1985,intervention,FemalesOver15,2025,0,9986110,9986110,9986110,condom_reduction,28
1985,intervention,FemalesOver15,2025,25,9986110,9986110,9986110,condom_reduction,28
1985,intervention,FemalesOver15,2025,50,9986110,9986110,9986110,condom_reduction,28
1985,intervention,FemalesOver15,2025,75,9986110,9986110,9986110,condom_reduction,28
1985,intervention,FemalesOver15,2025,100,9986110,9986110,9986110,condom_reduction,28
1985,intervention,FSWCondomUsage,2025,0,15.071814401550732,16.284526201658913,14.309764771244868,condom_reduction,28
1985,intervention,FSWCondomUsage,2025,25,15.071814401550732,16.284526201658913,14.309764771244868,condom_reduction,28
1985,intervention,FSWCondomUsage,2025,50,15.071814401550732,16.284526201658913,14.309764771244868,condom_reduction,28
1985,intervention,FSWCondomUsage,2025,75,15.071814401550732,16.284526201658913,14.309764771244868,condom_reduction,28
1985,intervention,FSWCondomUsage,2025,100,15.071814401550732,16.284526201658913,14.309764771244868,condom_reduction,28
1985,intervention,HIVinc15to49,2025,0,1.3366182e-4,1.6696905e-4,9.240728e-5,condom_reduction,28
1985,intervention,HIVinc15to49,2025,25,1.3366182e-4,1.6696905e-4,9.240728e-5,condom_reduction,28
1985,intervention,HIVinc15to49,2025,50,1.3366182e-4,1.6696905e-4,9.240728e-5,condom_reduction,28
1985,intervention,HIVinc15to49,2025,75,1.3366182e-4,1.6696905e-4,9.240728e-5,condom_reduction,28
1985,intervention,HIVinc15to49,2025,100,1.3366182e-4,1.6696905e-4,9.240728e-5,condom_reduction,28
1985,intervention,HIVtestsPos,2025,0,0,0,0,condom_reduction,28
1985,intervention,HIVtestsPos,2025,25,0,0,0,condom_reduction,28
1985,intervention,HIVtestsPos,2025,50,0,0,0,condom_reduction,28
1985,intervention,HIVtestsPos,2025,75,0,0,0,condom_reduction,28
1985,intervention,HIVtestsPos,2025,100,0,0,0,condom_reduction,28
1985,intervention,MalesOver15,2025,0,9540720,9540720,9540720,condom_reduction,28
1985,intervention,MalesOver15,2025,25,9540720,9540720,9540720,condom_reduction,28
1985,intervention,MalesOver15,2025,50,9540720,9540720,9540720,condom_reduction,28
1985,intervention,MalesOver15,2025,75,9540720,9540720,9540720,condom_reduction,28
1985,intervention,MalesOver15,2025,100,9540720,9540720,9540720,condom_reduction,28
1985,intervention,NewAdultHIV,2025,0,2170.57,2713.3372499999996,1501.6765,condom_reduction,28
1985,intervention,NewAdultHIV,2025,25,2170.57,2713.3372499999996,1501.6765,condom_reduction,28
1985,intervention,NewAdultHIV,2025,50,2170.57,2713.3372499999996,1501.6765,condom_reduction,28
1985,intervention,NewAdultHIV,2025,75,2170.57,2713.3372499999996,1501.6765,condom_reduction,28
1985,intervention,NewAdultHIV,2025,100,2170.57,2713.3372499999996,1501.6765,condom_reduction,28
1985,intervention,NewDiagnosesPregnancy,2025,0,0,0,0,condom_reduction,28
1985,intervention,NewDiagnosesPregnancy,2025,25,0,0,0,condom_reduction,28
1985,intervention,NewDiagnosesPregnancy,2025,50,0,0,0,condom_reduction,28
1985,intervention,NewDiagnosesPregnancy,2025,75,0,0,0,condom_reduction,28
1985,intervention,NewDiagnosesPregnancy,2025,100,0,0,0,condom_reduction,28
1985,intervention,Number1stHIVtestsPos,2025,0,9.675871,12.265445,6.3205877500000005,condom_reduction,28
