Adult + paed ART totals
2017	9	16680	555
2017	10	16752	554
2017	11	16772	553
2018	0	16809	554
2018	1	16765	556
2018	2	16794	557
2018	3	16737	558
2018	4	16969	559
2018	5	16892	560
2018	6	16887	487
2018	7	16962	488
2018	8	16998	489
2018	9	16525	490
2018	10	16623	491
2018	11	16670	492
2019	0	16738	489
2019	1	16796	486
2019	2	16770	483
2019	3	18354	480
2019	4	16725	477
2019	5	18146	474
2019	6	16477	425
2019	7	17171	422
2019	8	16383	420
2019	9	15964	417
2019	10	15739	415
2019	11	19204	412
2020	0	15478	411
2020	1	15423	411
2020	2	19865	410
2020	3	15466	410
2020	4	15187	409
2020	5	18232	409
2020	6	16303	408
2020	7	14958	408
2020	8	16830	407
Paed age distribution
0.10	0.09	0.08	0.11	0.12	0.14	0.15	0.16	0.18	0.21
0.45	0.44	0.40	0.38	0.35	0.35	0.32	0.29	0.30	0.32
Paed age distribution on ART
0.2933	0.2703	0.2335	0.1979	0.1723	0.1666	0.1554	0.1441
0.4137	0.4105	0.4053	0.4123	0.3924	0.3627	0.3411	0.3189
Adult male age distribution on ART
0.01735	0.01879	0.02086	0.02105	0.02270	0.02357	0.02523
0.06889	0.06636	0.06609	0.06117	0.05695	0.05270	0.04847
0.14808	0.14655	0.14499	0.13587	0.13010	0.12360	0.11516
0.18440	0.17822	0.17651	0.17865	0.17731	0.17285	0.17217
0.18007	0.18416	0.18128	0.17760	0.17433	0.17202	0.16906
0.14107	0.13898	0.14152	0.14501	0.14842	0.15094	0.15648
0.10359	0.10405	0.10090	0.10257	0.10352	0.10863	0.11121
0.06477	0.06540	0.06609	0.06958	0.07407	0.07750	0.07982
0.06841	0.07157	0.07439	0.07928	0.08267	0.08721	0.09164
Adult female age distribution on ART
0.07157	0.07176	0.07212	0.06875	0.06526	0.06047	0.05776
0.15052	0.14703	0.14467	0.13715	0.13139	0.12312	0.11764
0.19522	0.19478	0.19040	0.18413	0.17760	0.17190	0.16618
0.17063	0.16645	0.16727	0.17313	0.17658	0.17726	0.17911
0.13594	0.13995	0.13796	0.13714	0.13795	0.13996	0.14005
0.09694	0.09618	0.09839	0.10292	0.10583	0.10930	0.11459
0.06941	0.07093	0.07095	0.07192	0.07395	0.07813	0.07938
0.04245	0.04266	0.04429	0.04727	0.05092	0.05480	0.05739
0.04524	0.04760	0.05041	0.05460	0.05787	0.06234	0.06585
2012 ARV metabolite data (M then F, mean and SD)	
0.2204	0.0813
0.3307	0.0427
2017 ARV metabolite data (M then F, mean and SD)	
0.5625	0.0461
0.6947	0.0261
Fraction of adult ART patients who are male (mean, SD)
2012	0.3607	0.0200
2015	0.2983	0.0100
2016	0.2986	0.0100
2017	0.2865	0.0100
2018	0.3046	0.0100
2019	0.2920	0.0100
2020	0.3054	0.0100
2021	0.3062	0.0100
