indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
NewAdultHIV,2099,30,absolute_dif,0,0,0
NewAdultHIV,2099,30,baseline,42970.85,44370.057499999995,41571.6425
NewAdultHIV,2099,30,intervention,42970.85,44370.057499999995,41571.6425
NewAdultHIV,2099,30,percent_change,0,0,0
SWsexActs,2099,30,absolute_dif,0,0,0
SWsexActs,2099,30,baseline,405540500,405692025,405388975
SWsexActs,2099,30,intervention,405540500,405692025,405388975
SWsexActs,2099,30,percent_change,0,0,0
SWsexActsProt,2099,30,absolute_dif,0,0,0
SWsexActsProt,2099,30,baseline,328003000,329413750,326592250
SWsexActsProt,2099,30,intervention,328003000,329413750,326592250
SWsexActsProt,2099,30,percent_change,0,0,0
TotalAIDSdeathsadult,2099,30,absolute_dif,0,0,0
TotalAIDSdeathsadult,2099,30,baseline,17245.88,18164.207,16327.553000000002
TotalAIDSdeathsadult,2099,30,intervention,17245.88,18164.207,16327.553000000002
TotalAIDSdeathsadult,2099,30,percent_change,0,0,0
TotalHIVtests,2099,30,absolute_dif,0,0,0
TotalHIVtests,2099,30,baseline,29302300,31858940,26745660
TotalHIVtests,2099,30,intervention,29302300,31858940,26745660
TotalHIVtests,2099,30,percent_change,0,0,0
TotProtSexActs,2099,30,absolute_dif,0,0,0
TotProtSexActs,2099,30,baseline,525895000,537993250,513796750
TotProtSexActs,2099,30,intervention,525895000,537993250,513796750
TotProtSexActs,2099,30,percent_change,0,0,0
TotSexActs,2099,30,absolute_dif,0,0,0
TotSexActs,2099,30,baseline,1318729500,1354901225.0000002,1282557775
TotSexActs,2099,30,intervention,1318729500,1354901225.0000002,1282557775
TotSexActs,2099,30,percent_change,0,0,0
