"indicator","intervention_year","scenario","parameter_set","test_reduction","cumulative"
"CondomUsage","2025","baseline",1,0,696.602366333734
"CondomUsage","2025","baseline",1,0.5,696.602366333734
"CondomUsage","2025","baseline",1,1,696.602366333734
"CondomUsage","2025","baseline",1,1.5,696.602366333734
"CondomUsage","2025","baseline",1,2,696.602366333734
"CondomUsage","2025","baseline",1,2.5,696.602366333734
"CondomUsage","2025","baseline",1,3,696.602366333734
"CondomUsage","2025","baseline",2,0,691.589916127533
"CondomUsage","2025","baseline",2,0.5,691.589916127533
"CondomUsage","2025","baseline",2,1,691.589916127533
"CondomUsage","2025","baseline",2,1.5,691.589916127533
"CondomUsage","2025","baseline",2,2,691.589916127533
"CondomUsage","2025","baseline",2,2.5,691.589916127533
"CondomUsage","2025","baseline",2,3,691.589916127533
"CondomUsage","2025","intervention",1,0,696.602366333734
"CondomUsage","2025","intervention",1,0.5,657.845498777856
"CondomUsage","2025","intervention",1,1,619.094672414357
"CondomUsage","2025","intervention",1,1.5,580.349120917058
"CondomUsage","2025","intervention",1,2,541.610375519969
"CondomUsage","2025","intervention",1,2.5,502.878945773536
"CondomUsage","2025","intervention",1,3,464.155191186149
"CondomUsage","2025","intervention",2,0,691.589916127533
"CondomUsage","2025","intervention",2,0.5,653.078290234621
"CondomUsage","2025","intervention",2,1,614.573389796816
"CondomUsage","2025","intervention",2,1.5,576.074593980757
"CondomUsage","2025","intervention",2,2,537.58370885229
"CondomUsage","2025","intervention",2,2.5,499.099982818555
"CondomUsage","2025","intervention",2,3,460.625069425456
"FSWCondomUsage","2025","baseline",1,0,1705.50786493562
"FSWCondomUsage","2025","baseline",1,0.5,1705.50786493562
"FSWCondomUsage","2025","baseline",1,1,1705.50786493562
"FSWCondomUsage","2025","baseline",1,1.5,1705.50786493562
"FSWCondomUsage","2025","baseline",1,2,1705.50786493562
"FSWCondomUsage","2025","baseline",1,2.5,1705.50786493562
"FSWCondomUsage","2025","baseline",1,3,1705.50786493562
"FSWCondomUsage","2025","baseline",2,0,1691.46854353081
"FSWCondomUsage","2025","baseline",2,0.5,1691.46854353081
"FSWCondomUsage","2025","baseline",2,1,1691.46854353081
"FSWCondomUsage","2025","baseline",2,1.5,1691.46854353081
"FSWCondomUsage","2025","baseline",2,2,1691.46854353081
"FSWCondomUsage","2025","baseline",2,2.5,1691.46854353081
"FSWCondomUsage","2025","baseline",2,3,1691.46854353081
"FSWCondomUsage","2025","intervention",1,0,1705.50786493562
"FSWCondomUsage","2025","intervention",1,0.5,1611.70568898385
"FSWCondomUsage","2025","intervention",1,1,1517.90236201398
"FSWCondomUsage","2025","intervention",1,1.5,1424.09902595883
"FSWCondomUsage","2025","intervention",1,2,1330.29642539356
"FSWCondomUsage","2025","intervention",1,2.5,1236.49266035159
"FSWCondomUsage","2025","intervention",1,3,1142.69000576619
"FSWCondomUsage","2025","intervention",2,0,1691.46854353081
"FSWCondomUsage","2025","intervention",2,0.5,1598.43708477591
"FSWCondomUsage","2025","intervention",2,1,1505.40821748758
"FSWCondomUsage","2025","intervention",2,1.5,1412.37616571117
"FSWCondomUsage","2025","intervention",2,2,1319.34482831374
"FSWCondomUsage","2025","intervention",2,2.5,1226.3142437385
"FSWCondomUsage","2025","intervention",2,3,1133.28390975367
"NewAdultHIV","2025","baseline",1,0,2461812.4
"NewAdultHIV","2025","baseline",1,0.5,2461812.4
"NewAdultHIV","2025","baseline",1,1,2461812.4
"NewAdultHIV","2025","baseline",1,1.5,2461812.4
"NewAdultHIV","2025","baseline",1,2,2461812.4
"NewAdultHIV","2025","baseline",1,2.5,2461812.4
"NewAdultHIV","2025","baseline",1,3,2461812.4
"NewAdultHIV","2025","baseline",2,0,2373056.9
"NewAdultHIV","2025","baseline",2,0.5,2373056.9
"NewAdultHIV","2025","baseline",2,1,2373056.9
"NewAdultHIV","2025","baseline",2,1.5,2373056.9
"NewAdultHIV","2025","baseline",2,2,2373056.9
"NewAdultHIV","2025","baseline",2,2.5,2373056.9
"NewAdultHIV","2025","baseline",2,3,2373056.9
"NewAdultHIV","2025","intervention",1,0,2461812.4
"NewAdultHIV","2025","intervention",1,0.5,2550277.7
"NewAdultHIV","2025","intervention",1,1,2644615.1
"NewAdultHIV","2025","intervention",1,1.5,2745272
"NewAdultHIV","2025","intervention",1,2,2852708
"NewAdultHIV","2025","intervention",1,2.5,2967411
"NewAdultHIV","2025","intervention",1,3,3089859
"NewAdultHIV","2025","intervention",2,0,2373056.9
"NewAdultHIV","2025","intervention",2,0.5,2458752.1
"NewAdultHIV","2025","intervention",2,1,2550360.6
"NewAdultHIV","2025","intervention",2,1.5,2648342.5
"NewAdultHIV","2025","intervention",2,2,2753184
"NewAdultHIV","2025","intervention",2,2.5,2865377
"NewAdultHIV","2025","intervention",2,3,2985425
"NonFSWCondomUsage","2025","baseline",1,0,417.415945619246
"NonFSWCondomUsage","2025","baseline",1,0.5,417.415945619246
"NonFSWCondomUsage","2025","baseline",1,1,417.415945619246
"NonFSWCondomUsage","2025","baseline",1,1.5,417.415945619246
"NonFSWCondomUsage","2025","baseline",1,2,417.415945619246
"NonFSWCondomUsage","2025","baseline",1,2.5,417.415945619246
"NonFSWCondomUsage","2025","baseline",1,3,417.415945619246
"NonFSWCondomUsage","2025","baseline",2,0,401.844416928809
"NonFSWCondomUsage","2025","baseline",2,0.5,401.844416928809
"NonFSWCondomUsage","2025","baseline",2,1,401.844416928809
"NonFSWCondomUsage","2025","baseline",2,1.5,401.844416928809
"NonFSWCondomUsage","2025","baseline",2,2,401.844416928809
"NonFSWCondomUsage","2025","baseline",2,2.5,401.844416928809
"NonFSWCondomUsage","2025","baseline",2,3,401.844416928809
"NonFSWCondomUsage","2025","intervention",1,0,417.415945619246
"NonFSWCondomUsage","2025","intervention",1,0.5,394.394751587257
"NonFSWCondomUsage","2025","intervention",1,1,371.37424560008
"NonFSWCondomUsage","2025","intervention",1,1.5,348.352766896607
"NonFSWCondomUsage","2025","intervention",1,2,325.331185167565
"NonFSWCondomUsage","2025","intervention",1,2.5,302.309791744517
"NonFSWCondomUsage","2025","intervention",1,3,279.28824699154
"NonFSWCondomUsage","2025","intervention",2,0,401.844416928809
"NonFSWCondomUsage","2025","intervention",2,0.5,379.687564183056
"NonFSWCondomUsage","2025","intervention",2,1,357.530287415619
"NonFSWCondomUsage","2025","intervention",2,1.5,335.373169640517
