indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
NewAdultHIV,2035,80,absolute_dif,0,0,0
NewAdultHIV,2035,80,baseline,3051934.1500000004,3167725.4225000003,2936142.8775
NewAdultHIV,2035,80,intervention,3051934.1500000004,3167725.4225000003,2936142.8775
NewAdultHIV,2035,80,percent_change,0,0,0
SWsexActs,2035,80,absolute_dif,0,0,0
SWsexActs,2035,80,baseline,9167125500,9168486375,9165764625
SWsexActs,2035,80,intervention,9167125500,9168486375,9165764625
SWsexActs,2035,80,percent_change,0,0,0
SWsexActsProt,2035,80,absolute_dif,0,0,0
SWsexActsProt,2035,80,baseline,7414409000,7444619000,7384199000
SWsexActsProt,2035,80,intervention,7414409000,7444619000,7384199000
SWsexActsProt,2035,80,percent_change,0,0,0
TotalAIDSdeathsadult,2035,80,absolute_dif,0,0,0
TotalAIDSdeathsadult,2035,80,baseline,1568272.525,1599124.35925,1537420.6907499998
TotalAIDSdeathsadult,2035,80,intervention,1568272.525,1599124.35925,1537420.6907499998
TotalAIDSdeathsadult,2035,80,percent_change,0,0,0
TotalHIVtests,2035,80,absolute_dif,0,0,0
TotalHIVtests,2035,80,baseline,772812400,839872900,705751900
TotalHIVtests,2035,80,intervention,772812400,839872900,705751900
TotalHIVtests,2035,80,percent_change,0,0,0
TotProtSexActs,2035,80,absolute_dif,0,0,0
TotProtSexActs,2035,80,baseline,12666079000,12939103300,12393054700
TotProtSexActs,2035,80,intervention,12666079000,12939103300,12393054700
TotProtSexActs,2035,80,percent_change,0,0,0
TotSexActs,2035,80,absolute_dif,0,0,0
TotSexActs,2035,80,baseline,35276630500,36022207125,34531053875
TotSexActs,2035,80,intervention,35276630500,36022207125,34531053875
TotSexActs,2035,80,percent_change,0,0,0
