year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI
2022,intervention,HIVinc15to49,2050,10,0.00579053,0.0057944345,0.0057866255
2022,intervention,NewAdultHIV,2050,10,175530.5,176200.72499999998,174860.27500000002
2022,intervention,SWsexActs,2050,10,112515000,112732550,112297450
2022,intervention,SWsexActsProt,2050,10,90995450,91176852.5,90814047.5
2022,intervention,TotalAIDSdeathsadult,2050,10,47562.950000000004,47893.692500000005,47232.207500000004
2022,intervention,TotalHIVtests,2050,10,16579900,18098095,15061705
2022,intervention,TotProtSexActs,2050,10,178260000,181689500,174830500
2022,intervention,TotSexActs,2050,10,568784500,577097475,560471525
2023,baseline,AIDSdeathsAdultF,2050,10,21000,21091.864999999998,20908.135000000002
2023,baseline,AIDSdeathsAdultM,2050,10,25508.199999999997,25919.454999999998,25096.945
2023,baseline,ARTcoverageAdult,2050,10,0.728696,0.7346239999999999,0.7227680000000001
2023,baseline,CondomUsage,2050,10,31.58777992485368,31.729249624914583,31.44631022479278
2023,baseline,FSWCondomUsage,2050,10,80.87916585588978,81.19664276917838,80.56168894260118
2023,baseline,HIVinc15to49,2050,10,0.00536877,0.005380901499999999,0.0053566385
2023,baseline,NewAdultHIV,2050,10,166272,167434.8,165109.2
2023,baseline,SWsexActs,2050,10,115418500,115608975,115228025
2023,baseline,SWsexActsProt,2050,10,93348850,93561222.5,93136477.5
2023,baseline,TotalAIDSdeathsadult,2050,10,46508.2,46827.59,46188.81
2023,baseline,TotalHIVtests,2050,10,17000650,18569147.5,15432152.5
2023,baseline,TotProtSexActs,2050,10,181347500,184833525,177861475
2023,baseline,TotSexActs,2050,10,574064500,582529475,565599525
2023,intervention,AIDSdeathsAdultF,2050,10,21000,21091.864999999998,20908.135000000002
2023,intervention,AIDSdeathsAdultM,2050,10,25508.199999999997,25919.454999999998,25096.945
2023,intervention,ARTcoverageAdult,2050,10,0.728696,0.7346239999999999,0.7227680000000001
2023,intervention,CondomUsage,2050,10,31.58777992485368,31.729249624914583,31.44631022479278
2023,intervention,FSWCondomUsage,2050,10,80.87916585588978,81.19664276917838,80.56168894260118
2023,intervention,HIVinc15to49,2050,10,0.00536877,0.005380901499999999,0.0053566385
2023,intervention,NewAdultHIV,2050,10,166272,167434.8,165109.2
2023,intervention,SWsexActs,2050,10,115418500,115608975,115228025
2023,intervention,SWsexActsProt,2050,10,93348850,93561222.5,93136477.5
2023,intervention,TotalAIDSdeathsadult,2050,10,46508.2,46827.59,46188.81
2023,intervention,TotalHIVtests,2050,10,17000650,18569147.5,15432152.5
2023,intervention,TotProtSexActs,2050,10,181347500,184833525,177861475
2023,intervention,TotSexActs,2050,10,574064500,582529475,565599525
2024,baseline,AIDSdeathsAdultF,2050,10,20928.449999999997,21123.3425,20733.5575
2024,baseline,AIDSdeathsAdultM,2050,10,24421.699999999997,24850.53,23992.870000000003
2024,baseline,ARTcoverageAdult,2050,10,0.7370765,0.740405775,0.733747225
2024,baseline,CondomUsage,2050,10,31.804085747359206,31.94272742596873,31.665444068749682
2024,baseline,FSWCondomUsage,2050,10,80.88009908112176,81.19762637518761,80.5625717870559
2024,baseline,HIVinc15to49,2050,10,0.005091625000000001,0.00510803625,0.00507521375
2024,baseline,NewAdultHIV,2050,10,161279.5,162548.22499999998,160010.77500000002
2024,baseline,SWsexActs,2050,10,118263000,118428300,118097700
2024,baseline,SWsexActsProt,2050,10,95650650,95892472.5,95408827.5
2024,baseline,TotalAIDSdeathsadult,2050,10,45350.149999999994,45584.087499999994,45116.212499999994
2024,baseline,TotalHIVtests,2050,10,17426250,19040442.5,15812057.5
2024,baseline,TotProtSexActs,2050,10,184510000,188052550,180967450
2024,baseline,TotSexActs,2050,10,580104000,588713850,571494150
2024,intervention,AIDSdeathsAdultF,2050,10,20928.449999999997,21123.3425,20733.5575
2024,intervention,AIDSdeathsAdultM,2050,10,24421.699999999997,24850.53,23992.870000000003
2024,intervention,ARTcoverageAdult,2050,10,0.7370765,0.740405775,0.733747225
2024,intervention,CondomUsage,2050,10,31.804085747359206,31.94272742596873,31.665444068749682
2024,intervention,FSWCondomUsage,2050,10,80.88009908112176,81.19762637518761,80.5625717870559
2024,intervention,HIVinc15to49,2050,10,0.005091625000000001,0.00510803625,0.00507521375
2024,intervention,NewAdultHIV,2050,10,161279.5,162548.22499999998,160010.77500000002
2024,intervention,SWsexActs,2050,10,118263000,118428300,118097700
2024,intervention,SWsexActsProt,2050,10,95650650,95892472.5,95408827.5
2024,intervention,TotalAIDSdeathsadult,2050,10,45350.149999999994,45584.087499999994,45116.212499999994
2024,intervention,TotalHIVtests,2050,10,17426250,19040442.5,15812057.5
2024,intervention,TotProtSexActs,2050,10,184510000,188052550,180967450
2024,intervention,TotSexActs,2050,10,580104000,588713850,571494150
2025,baseline,AIDSdeathsAdultF,2050,10,20903.050000000003,21156.842500000002,20649.2575
2025,baseline,AIDSdeathsAdultM,2050,10,23615.65,24043.9575,23187.3425
2025,baseline,ARTcoverageAdult,2050,10,0.7427805000000001,0.7457098249999999,0.7398511750000001
2025,baseline,CondomUsage,2050,10,31.97778573123125,32.115095033761314,31.84047642870119
2025,baseline,FSWCondomUsage,2050,10,80.88037152189347,81.19796760063842,80.56277544314851
2025,baseline,HIVinc15to49,2050,10,0.004846985,0.00486663575,0.004827334250000001
2025,baseline,NewAdultHIV,2050,10,156909,158249.44999999998,155568.55000000002
2025,baseline,SWsexActs,2050,10,120906500,121041875,120771125
2025,baseline,SWsexActsProt,2050,10,97789150,98063652.5,97514647.5
2025,baseline,TotalAIDSdeathsadult,2050,10,44518.7,44693.215,44344.185000000005
2025,baseline,TotalHIVtests,2050,10,17864100,19520520,16207680
2025,baseline,TotProtSexActs,2050,10,187599500,191207125,183991875
2025,baseline,TotSexActs,2050,10,586614000,595376800,577851200
2025,intervention,AIDSdeathsAdultF,2050,10,20903.050000000003,21156.842500000002,20649.2575
2025,intervention,AIDSdeathsAdultM,2050,10,23615.65,24043.9575,23187.3425
2025,intervention,ARTcoverageAdult,2050,10,0.7427805000000001,0.7457098249999999,0.7398511750000001
2025,intervention,CondomUsage,2050,10,31.97778573123125,32.115095033761314,31.84047642870119
2025,intervention,FSWCondomUsage,2050,10,80.88037152189347,81.19796760063842,80.56277544314851
2025,intervention,HIVinc15to49,2050,10,0.004846985,0.00486663575,0.004827334250000001
2025,intervention,NewAdultHIV,2050,10,156909,158249.44999999998,155568.55000000002
2025,intervention,SWsexActs,2050,10,120906500,121041875,120771125
2025,intervention,SWsexActsProt,2050,10,97789150,98063652.5,97514647.5
2025,intervention,TotalAIDSdeathsadult,2050,10,44518.7,44693.215,44344.185000000005
2025,intervention,TotalHIVtests,2050,10,17864100,19520520,16207680
2025,intervention,TotProtSexActs,2050,10,187599500,191207125,183991875
2025,intervention,TotSexActs,2050,10,586614000,595376800,577851200
2026,baseline,AIDSdeathsAdultF,2050,10,20927.25,21213.0575,20641.4425
2026,baseline,AIDSdeathsAdultM,2050,10,23097.75,23504.3025,22691.1975
2026,baseline,ARTcoverageAdult,2050,10,0.747222,0.7498791499999999,0.7445648500000001
2026,baseline,CondomUsage,2050,10,32.11397312518929,32.25035164897133,31.97759460140725
2026,baseline,FSWCondomUsage,2050,10,80.88024275608012,81.19775034563813,80.5627351665221
2026,baseline,HIVinc15to49,2050,10,0.004618499999999999,0.0046418605,0.0045951394999999996
2026,baseline,NewAdultHIV,2050,10,152841,154264.1,151417.9
2026,baseline,SWsexActs,2050,10,123396000,123505250,123286750
