indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
NewAdultHIV,2025,0,absolute_dif,0,0,0
NewAdultHIV,2025,0,baseline,4108338.0999999996,4224883.149999999,3991793.0500000003
NewAdultHIV,2025,0,intervention,4108338.0999999996,4224883.149999999,3991793.0500000003
NewAdultHIV,2025,0,percent_change,0,0,0
SWsexActs,2025,0,absolute_dif,0,0,0
SWsexActs,2025,0,baseline,8475222000,8475564000,8474880000
SWsexActs,2025,0,intervention,8475222000,8475564000,8474880000
SWsexActs,2025,0,percent_change,0,0,0
SWsexActsProt,2025,0,absolute_dif,0,0,0
SWsexActsProt,2025,0,baseline,6854790250,6881426207.5,6828154292.5
SWsexActsProt,2025,0,intervention,6854790250,6881426207.5,6828154292.5
SWsexActsProt,2025,0,percent_change,0,0,0
TotalAIDSdeathsadult,2025,0,absolute_dif,0,0,0
TotalAIDSdeathsadult,2025,0,baseline,1841231.4500000002,1864693.2295000001,1817769.6705
TotalAIDSdeathsadult,2025,0,intervention,1841231.4500000002,1864693.2295000001,1817769.6705
TotalAIDSdeathsadult,2025,0,percent_change,0,0,0
TotalHIVtests,2025,0,absolute_dif,0,0,0
TotalHIVtests,2025,0,baseline,817229100,889471565,744986635
TotalHIVtests,2025,0,intervention,817229100,889471565,744986635
TotalHIVtests,2025,0,percent_change,0,0,0
TotProtSexActs,2025,0,absolute_dif,0,0,0
TotProtSexActs,2025,0,baseline,12017159000,12269780150,11764537850
TotProtSexActs,2025,0,intervention,12017159000,12269780150,11764537850
TotProtSexActs,2025,0,percent_change,0,0,0
TotSexActs,2025,0,absolute_dif,0,0,0
TotSexActs,2025,0,baseline,34475225000,35145849000,33804601000
TotSexActs,2025,0,intervention,34475225000,35145849000,33804601000
TotSexActs,2025,0,percent_change,0,0,0
