future_variability,future_value,pitc_reduction_year,pitc_reduction_percentage,elimination_year,mean_incidence_2100,lower_ci,upper_ci
test_reduction_only,NA,2025,100,NA,0.0015376,0.0013408075,0.0017343925
test_reduction_only,NA,2025,0,2055,1.381065e-4,1.27308325e-4,1.48904675e-4
