year,intervention_year,test_reduction,mean,upper_CI,lower_CI
1990,2025,0,0.0062538097,0.007689473499999999,0.00510844175
1990,2025,20,0.0062538097,0.007689473499999999,0.00510844175
1990,2025,40,0.0062538097,0.007689473499999999,0.00510844175
1990,2025,60,0.0062538097,0.007689473499999999,0.00510844175
1990,2025,80,0.0062538097,0.007689473499999999,0.00510844175
1990,2025,100,0.0062538097,0.007689473499999999,0.00510844175
1991,2025,0,0.0085985752,0.0101276575,0.007353440500000001
1991,2025,20,0.0085985752,0.0101276575,0.007353440500000001
1991,2025,40,0.0085985752,0.0101276575,0.007353440500000001
1991,2025,60,0.0085985752,0.0101276575,0.007353440500000001
1991,2025,80,0.0085985752,0.0101276575,0.007353440500000001
1991,2025,100,0.0085985752,0.0101276575,0.007353440500000001
1992,2025,0,0.0111803506,0.012706924999999999,0.00994955775
1992,2025,20,0.0111803506,0.012706924999999999,0.00994955775
1992,2025,40,0.0111803506,0.012706924999999999,0.00994955775
1992,2025,60,0.0111803506,0.012706924999999999,0.00994955775
1992,2025,80,0.0111803506,0.012706924999999999,0.00994955775
1992,2025,100,0.0111803506,0.012706924999999999,0.00994955775
1993,2025,0,0.013837556,0.015226634999999999,0.012666147499999999
1993,2025,20,0.013837556,0.015226634999999999,0.012666147499999999
1993,2025,40,0.013837556,0.015226634999999999,0.012666147499999999
1993,2025,60,0.013837556,0.015226634999999999,0.012666147499999999
1993,2025,80,0.013837556,0.015226634999999999,0.012666147499999999
1993,2025,100,0.013837556,0.015226634999999999,0.012666147499999999
1994,2025,0,0.016331005,0.0176143625,0.015226324999999999
1994,2025,20,0.016331005,0.0176143625,0.015226324999999999
1994,2025,40,0.016331005,0.0176143625,0.015226324999999999
1994,2025,60,0.016331005,0.0176143625,0.015226324999999999
1994,2025,80,0.016331005,0.0176143625,0.015226324999999999
1994,2025,100,0.016331005,0.0176143625,0.015226324999999999
1995,2025,0,0.018434785,0.019656572499999997,0.0173452375
1995,2025,20,0.018434785,0.019656572499999997,0.0173452375
1995,2025,40,0.018434785,0.019656572499999997,0.0173452375
1995,2025,60,0.018434785,0.019656572499999997,0.0173452375
1995,2025,80,0.018434785,0.019656572499999997,0.0173452375
1995,2025,100,0.018434785,0.019656572499999997,0.0173452375
1996,2025,0,0.020015628,0.021136444999999997,0.0190653375
1996,2025,20,0.020015628,0.021136444999999997,0.0190653375
1996,2025,40,0.020015628,0.021136444999999997,0.0190653375
1996,2025,60,0.020015628,0.021136444999999997,0.0190653375
1996,2025,80,0.020015628,0.021136444999999997,0.0190653375
1996,2025,100,0.020015628,0.021136444999999997,0.0190653375
1997,2025,0,0.021018415,0.0220544575,0.020216514999999997
1997,2025,20,0.021018415,0.0220544575,0.020216514999999997
1997,2025,40,0.021018415,0.0220544575,0.020216514999999997
1997,2025,60,0.021018415,0.0220544575,0.020216514999999997
1997,2025,80,0.021018415,0.0220544575,0.020216514999999997
1997,2025,100,0.021018415,0.0220544575,0.020216514999999997
1998,2025,0,0.02151363,0.02248547,0.0208241275
1998,2025,20,0.02151363,0.02248547,0.0208241275
1998,2025,40,0.02151363,0.02248547,0.0208241275
1998,2025,60,0.02151363,0.02248547,0.0208241275
1998,2025,80,0.02151363,0.02248547,0.0208241275
1998,2025,100,0.02151363,0.02248547,0.0208241275
1999,2025,0,0.021564647,0.022438165000000003,0.020931845
1999,2025,20,0.021564647,0.022438165000000003,0.020931845
1999,2025,40,0.021564647,0.022438165000000003,0.020931845
1999,2025,60,0.021564647,0.022438165000000003,0.020931845
1999,2025,80,0.021564647,0.022438165000000003,0.020931845
1999,2025,100,0.021564647,0.022438165000000003,0.020931845
2000,2025,0,0.02122512,0.021934975000000002,0.020650052500000002
2000,2025,20,0.02122512,0.021934975000000002,0.020650052500000002
2000,2025,40,0.02122512,0.021934975000000002,0.020650052500000002
2000,2025,60,0.02122512,0.021934975000000002,0.020650052500000002
2000,2025,80,0.02122512,0.021934975000000002,0.020650052500000002
2000,2025,100,0.02122512,0.021934975000000002,0.020650052500000002
2001,2025,0,0.020593005,0.021133837500000002,0.0201374675
2001,2025,20,0.020593005,0.021133837500000002,0.0201374675
2001,2025,40,0.020593005,0.021133837500000002,0.0201374675
2001,2025,60,0.020593005,0.021133837500000002,0.0201374675
2001,2025,80,0.020593005,0.021133837500000002,0.0201374675
2001,2025,100,0.020593005,0.021133837500000002,0.0201374675
2002,2025,0,0.019834736,0.02034011,0.0194437075
2002,2025,20,0.019834736,0.02034011,0.0194437075
2002,2025,40,0.019834736,0.02034011,0.0194437075
2002,2025,60,0.019834736,0.02034011,0.0194437075
2002,2025,80,0.019834736,0.02034011,0.0194437075
2002,2025,100,0.019834736,0.02034011,0.0194437075
2003,2025,0,0.019099615,0.0196140125,0.0186768475
2003,2025,20,0.019099615,0.0196140125,0.0186768475
2003,2025,40,0.019099615,0.0196140125,0.0186768475
2003,2025,60,0.019099615,0.0196140125,0.0186768475
2003,2025,80,0.019099615,0.0196140125,0.0186768475
2003,2025,100,0.019099615,0.0196140125,0.0186768475
2004,2025,0,0.01837391,0.018938109999999998,0.0178841425
2004,2025,20,0.01837391,0.018938109999999998,0.0178841425
2004,2025,40,0.01837391,0.018938109999999998,0.0178841425
2004,2025,60,0.01837391,0.018938109999999998,0.0178841425
2004,2025,80,0.01837391,0.018938109999999998,0.0178841425
2004,2025,100,0.01837391,0.018938109999999998,0.0178841425
2005,2025,0,0.017691292,0.018276445000000002,0.01715421
2005,2025,20,0.017691292,0.018276445000000002,0.01715421
2005,2025,40,0.017691292,0.018276445000000002,0.01715421
2005,2025,60,0.017691292,0.018276445000000002,0.01715421
2005,2025,80,0.017691292,0.018276445000000002,0.01715421
2005,2025,100,0.017691292,0.018276445000000002,0.01715421
2006,2025,0,0.017127738,0.017707920000000002,0.0165804875
2006,2025,20,0.017127738,0.017707920000000002,0.0165804875
2006,2025,40,0.017127738,0.017707920000000002,0.0165804875
2006,2025,60,0.017127738,0.017707920000000002,0.0165804875
2006,2025,80,0.017127738,0.017707920000000002,0.0165804875
2006,2025,100,0.017127738,0.017707920000000002,0.0165804875
2007,2025,0,0.016633542,0.017172565,0.0160611025
2007,2025,20,0.016633542,0.017172565,0.0160611025
2007,2025,40,0.016633542,0.017172565,0.0160611025
2007,2025,60,0.016633542,0.017172565,0.0160611025
2007,2025,80,0.016633542,0.017172565,0.0160611025
2007,2025,100,0.016633542,0.017172565,0.0160611025
2008,2025,0,0.016169784,0.0166830475,0.0155608775
2008,2025,20,0.016169784,0.0166830475,0.0155608775
2008,2025,40,0.016169784,0.0166830475,0.0155608775
2008,2025,60,0.016169784,0.0166830475,0.0155608775
2008,2025,80,0.016169784,0.0166830475,0.0155608775
2008,2025,100,0.016169784,0.0166830475,0.0155608775
2009,2025,0,0.015627044,0.016122845,0.014991952499999999
2009,2025,20,0.015627044,0.016122845,0.014991952499999999
2009,2025,40,0.015627044,0.016122845,0.014991952499999999
2009,2025,60,0.015627044,0.016122845,0.014991952499999999
2009,2025,80,0.015627044,0.016122845,0.014991952499999999
2009,2025,100,0.015627044,0.016122845,0.014991952499999999
2010,2025,0,0.015029653,0.015511757499999999,0.01434777
2010,2025,20,0.015029653,0.015511757499999999,0.01434777
2010,2025,40,0.015029653,0.015511757499999999,0.01434777
2010,2025,60,0.015029653,0.015511757499999999,0.01434777
2010,2025,80,0.015029653,0.015511757499999999,0.01434777
2010,2025,100,0.015029653,0.015511757499999999,0.01434777
2011,2025,0,0.01430004,0.014801965,0.01358579
2011,2025,20,0.01430004,0.014801965,0.01358579
2011,2025,40,0.01430004,0.014801965,0.01358579
2011,2025,60,0.01430004,0.014801965,0.01358579
2011,2025,80,0.01430004,0.014801965,0.01358579
2011,2025,100,0.01430004,0.014801965,0.01358579
2012,2025,0,0.01339443,0.013899242499999999,0.012653000000000001
2012,2025,20,0.01339443,0.013899242499999999,0.012653000000000001
2012,2025,40,0.01339443,0.013899242499999999,0.012653000000000001
2012,2025,60,0.01339443,0.013899242499999999,0.012653000000000001
2012,2025,80,0.01339443,0.013899242499999999,0.012653000000000001
2012,2025,100,0.01339443,0.013899242499999999,0.012653000000000001
2013,2025,0,0.01259408,0.0130960025,0.0118217075
2013,2025,20,0.01259408,0.0130960025,0.0118217075
2013,2025,40,0.01259408,0.0130960025,0.0118217075
2013,2025,60,0.01259408,0.0130960025,0.0118217075
2013,2025,80,0.01259408,0.0130960025,0.0118217075
2013,2025,100,0.01259408,0.0130960025,0.0118217075
2014,2025,0,0.0117790471,0.01228084,0.010979275
