"indicator","intervention_year","scenario","parameter_set","test_reduction","cumulative"
"CondomUsage","2025","baseline",1,0,1046.73840453732
"CondomUsage","2025","baseline",1,0.5,1046.73840453732
"CondomUsage","2025","baseline",1,1,1046.73840453732
"CondomUsage","2025","baseline",1,1.5,1046.73840453732
"CondomUsage","2025","baseline",1,2,1046.73840453732
"CondomUsage","2025","baseline",1,2.5,1046.73840453732
"CondomUsage","2025","baseline",1,3,1046.73840453732
"CondomUsage","2025","baseline",2,0,1040.67124320868
"CondomUsage","2025","baseline",2,0.5,1040.67124320868
"CondomUsage","2025","baseline",2,1,1040.67124320868
"CondomUsage","2025","baseline",2,1.5,1040.67124320868
"CondomUsage","2025","baseline",2,2,1040.67124320868
"CondomUsage","2025","baseline",2,2.5,1040.67124320868
"CondomUsage","2025","baseline",2,3,1040.67124320868
"CondomUsage","2025","intervention",1,0,1046.73840453732
"CondomUsage","2025","intervention",1,0.5,961.474356927339
"CondomUsage","2025","intervention",1,1,876.230535438982
"CondomUsage","2025","intervention",1,1.5,791.009024825648
"CondomUsage","2025","intervention",1,2,705.815246294931
"CondomUsage","2025","intervention",1,2.5,620.654028514687
"CondomUsage","2025","intervention",1,3,535.530047518371
"CondomUsage","2025","intervention",2,0,1040.67124320868
"CondomUsage","2025","intervention",2,0.5,955.78044790136
"CondomUsage","2025","intervention",2,1,870.912281800865
"CondomUsage","2025","intervention",2,1.5,786.069365164938
"CondomUsage","2025","intervention",2,2,701.257800691952
"CondomUsage","2025","intervention",2,2.5,616.481308793925
"CondomUsage","2025","intervention",2,3,531.747567992645
"FSWCondomUsage","2025","baseline",1,0,2517.6541409948
"FSWCondomUsage","2025","baseline",1,0.5,2517.6541409948
"FSWCondomUsage","2025","baseline",1,1,2517.6541409948
"FSWCondomUsage","2025","baseline",1,1.5,2517.6541409948
"FSWCondomUsage","2025","baseline",1,2,2517.6541409948
"FSWCondomUsage","2025","baseline",1,2.5,2517.6541409948
"FSWCondomUsage","2025","baseline",1,3,2517.6541409948
"FSWCondomUsage","2025","baseline",2,0,2496.92881924058
"FSWCondomUsage","2025","baseline",2,0.5,2496.92881924058
"FSWCondomUsage","2025","baseline",2,1,2496.92881924058
"FSWCondomUsage","2025","baseline",2,1.5,2496.92881924058
"FSWCondomUsage","2025","baseline",2,2,2496.92881924058
"FSWCondomUsage","2025","baseline",2,2.5,2496.92881924058
"FSWCondomUsage","2025","baseline",2,3,2496.92881924058
