indicator,intervention_year,parameter_set,scenario,value
LYlostAIDS,2025,1,baseline,28553610
LYlostAIDS,2025,1,intervention,32947010
LYlostAIDS,2025,1,percent_change,15.386495788098248
LYlostAIDS,2025,2,baseline,28635060
LYlostAIDS,2025,2,intervention,32377710
LYlostAIDS,2025,2,percent_change,13.07016643233854
NewAdultHIV,2025,1,baseline,2461812.4
NewAdultHIV,2025,1,intervention,2794996
NewAdultHIV,2025,1,percent_change,13.534077576341726
NewAdultHIV,2025,2,baseline,2373056.9
NewAdultHIV,2025,2,intervention,2668660
NewAdultHIV,2025,2,percent_change,12.456637681127667
NewDiagnosesPregnancy,2025,1,baseline,197152.37
NewDiagnosesPregnancy,2025,1,intervention,344599.8
NewDiagnosesPregnancy,2025,1,percent_change,74.78856581840736
NewDiagnosesPregnancy,2025,2,baseline,194294.84
NewDiagnosesPregnancy,2025,2,intervention,332694.8
NewDiagnosesPregnancy,2025,2,percent_change,71.23192772386544
Number1stHIVtestsPos,2025,1,baseline,2565423.5
Number1stHIVtestsPos,2025,1,intervention,2651425
Number1stHIVtestsPos,2025,1,percent_change,3.3523314961447883
Number1stHIVtestsPos,2025,2,baseline,2485874.5
Number1stHIVtestsPos,2025,2,intervention,2546054.3
Number1stHIVtestsPos,2025,2,percent_change,2.4208704019450624
RediagnosesPregnancy,2025,1,baseline,594479.7
RediagnosesPregnancy,2025,1,intervention,616269.8
RediagnosesPregnancy,2025,1,percent_change,3.665406909605171
RediagnosesPregnancy,2025,2,baseline,549744.2
RediagnosesPregnancy,2025,2,intervention,562799.4
RediagnosesPregnancy,2025,2,percent_change,2.3747772145663513
StartingARTtot,2025,1,baseline,2695189.4
StartingARTtot,2025,1,intervention,2723560
StartingARTtot,2025,1,percent_change,1.0526384527929686
StartingARTtot,2025,2,baseline,2660545.9
StartingARTtot,2025,2,intervention,2673281.1
StartingARTtot,2025,2,percent_change,0.47866868224300085
TotalAIDSdeathsadult,2025,1,baseline,895922.8
TotalAIDSdeathsadult,2025,1,intervention,1006950.6
TotalAIDSdeathsadult,2025,1,percent_change,12.392563287818986
TotalAIDSdeathsadult,2025,2,baseline,892401.9
TotalAIDSdeathsadult,2025,2,intervention,983756.7
TotalAIDSdeathsadult,2025,2,percent_change,10.236957137809762
TotalHIVtests,2025,1,baseline,479975100
TotalHIVtests,2025,1,intervention,238050870
TotalHIVtests,2025,1,percent_change,-50.403495931351436
TotalHIVtests,2025,2,baseline,393209100
TotalHIVtests,2025,2,intervention,202491000
TotalHIVtests,2025,2,percent_change,-48.50297208279259
TotANCtests,2025,1,baseline,39784620
TotANCtests,2025,1,intervention,39724940
TotANCtests,2025,1,percent_change,-0.1500077165497622
TotANCtests,2025,2,baseline,40101980
TotANCtests,2025,2,intervention,40048050
TotANCtests,2025,2,percent_change,-0.13448213778970514
TotHIV15,2025,1,baseline,169160930
TotHIV15,2025,1,intervention,170847570
TotHIV15,2025,1,percent_change,0.9970623831401259
TotHIV15,2025,2,baseline,170508740
TotHIV15,2025,2,intervention,172077780
TotHIV15,2025,2,percent_change,0.9202108935882114
VLsuppressed,2025,1,baseline,19.37581
VLsuppressed,2025,1,intervention,19.363827
VLsuppressed,2025,1,percent_change,-0.061845156408948804
VLsuppressed,2025,2,baseline,19.412963
VLsuppressed,2025,2,intervention,19.40175
VLsuppressed,2025,2,percent_change,-0.05776037382856739
LYlostAIDS,2030,1,baseline,25166454
LYlostAIDS,2030,1,intervention,28828200
LYlostAIDS,2030,1,percent_change,14.550107059182832
LYlostAIDS,2030,2,baseline,25095048
LYlostAIDS,2030,2,intervention,28160250
LYlostAIDS,2030,2,percent_change,12.214369942627725
NewAdultHIV,2030,1,baseline,2069759.5
NewAdultHIV,2030,1,intervention,2359057
NewAdultHIV,2030,1,percent_change,13.977348576006051
NewAdultHIV,2030,2,baseline,1974353.6
NewAdultHIV,2030,2,intervention,2225495.9
NewAdultHIV,2030,2,percent_change,12.72022904103904
NewDiagnosesPregnancy,2030,1,baseline,150798.04
NewDiagnosesPregnancy,2030,1,intervention,265333.88
NewDiagnosesPregnancy,2030,1,percent_change,75.95313573041135
NewDiagnosesPregnancy,2030,2,baseline,146809.41
NewDiagnosesPregnancy,2030,2,intervention,252284.11
NewDiagnosesPregnancy,2030,2,percent_change,71.8446453807014
Number1stHIVtestsPos,2030,1,baseline,2137877.3
Number1stHIVtestsPos,2030,1,intervention,2214859.1
Number1stHIVtestsPos,2030,1,percent_change,3.600852116255703
Number1stHIVtestsPos,2030,2,baseline,2054352.2
Number1stHIVtestsPos,2030,2,intervention,2106006.8
Number1stHIVtestsPos,2030,2,percent_change,2.5143984561167194
RediagnosesPregnancy,2030,1,baseline,455658
RediagnosesPregnancy,2030,1,intervention,472826.6
RediagnosesPregnancy,2030,1,percent_change,3.7678697619705956
RediagnosesPregnancy,2030,2,baseline,417375.51
RediagnosesPregnancy,2030,2,intervention,427471.1
RediagnosesPregnancy,2030,2,percent_change,2.418826634078259
StartingARTtot,2030,1,baseline,2214160.2
StartingARTtot,2030,1,intervention,2243034.3
StartingARTtot,2030,1,percent_change,1.30406553238558
StartingARTtot,2030,2,baseline,2157635.9
StartingARTtot,2030,2,intervention,2170749.5
StartingARTtot,2030,2,percent_change,0.6077763166621437
TotalAIDSdeathsadult,2030,1,baseline,869586.3
TotalAIDSdeathsadult,2030,1,intervention,966175
TotalAIDSdeathsadult,2030,1,percent_change,11.107431200330542
TotalAIDSdeathsadult,2030,2,baseline,862083.2
TotalAIDSdeathsadult,2030,2,intervention,940144.1
TotalAIDSdeathsadult,2030,2,percent_change,9.054914885245418
TotalHIVtests,2030,1,baseline,508126100
TotalHIVtests,2030,1,intervention,252854400
TotalHIVtests,2030,1,percent_change,-50.237864183713455
TotalHIVtests,2030,2,baseline,415553500
TotalHIVtests,2030,2,intervention,214567750
TotalHIVtests,2030,2,percent_change,-48.3657940553984
TotANCtests,2030,1,baseline,40849120
TotANCtests,2030,1,intervention,40798420
TotANCtests,2030,1,percent_change,-0.12411528081877896
TotANCtests,2030,2,baseline,41116180
TotANCtests,2030,2,intervention,41071620
TotANCtests,2030,2,percent_change,-0.10837582674265946
TotHIV15,2030,1,baseline,166013380
TotHIV15,2030,1,intervention,167470000
TotHIV15,2030,1,percent_change,0.8774112062533754
TotHIV15,2030,2,baseline,166866870
TotHIV15,2030,2,intervention,168187430
TotHIV15,2030,2,percent_change,0.79138537206337
VLsuppressed,2030,1,baseline,19.409081
VLsuppressed,2030,1,intervention,19.399185
VLsuppressed,2030,1,percent_change,-0.05098644289238237
VLsuppressed,2030,2,baseline,19.44535
VLsuppressed,2030,2,intervention,19.436152
VLsuppressed,2030,2,percent_change,-0.04730179708774268
LYlostAIDS,2035,1,baseline,21856770
LYlostAIDS,2035,1,intervention,24884381
LYlostAIDS,2035,1,percent_change,13.852051332378936
LYlostAIDS,2035,2,baseline,21670058
LYlostAIDS,2035,2,intervention,24157719
LYlostAIDS,2035,2,percent_change,11.479715467305164
NewAdultHIV,2035,1,baseline,1724880.1
NewAdultHIV,2035,1,intervention,1969704.3
NewAdultHIV,2035,1,percent_change,14.193693810949522
NewAdultHIV,2035,2,baseline,1629118.9
NewAdultHIV,2035,2,intervention,1838266.9
NewAdultHIV,2035,2,percent_change,12.838105309563346
NewDiagnosesPregnancy,2035,1,baseline,112092.71
NewDiagnosesPregnancy,2035,1,intervention,197655.4
NewDiagnosesPregnancy,2035,1,percent_change,76.33207369150053
NewDiagnosesPregnancy,2035,2,baseline,108048.29
NewDiagnosesPregnancy,2035,2,intervention,185621.75
NewDiagnosesPregnancy,2035,2,percent_change,71.7951760273115
Number1stHIVtestsPos,2035,1,baseline,1772310
