indicator,intervention_year,parameter_set,scenario,value
LYlostAIDS,2025,1,baseline,28553610
LYlostAIDS,2025,1,intervention,30437520
LYlostAIDS,2025,1,percent_change,6.597799717794002
LYlostAIDS,2025,2,baseline,28635060
LYlostAIDS,2025,2,intervention,30283310
LYlostAIDS,2025,2,percent_change,5.756055688376417
NewAdultHIV,2025,1,baseline,2461812.4
NewAdultHIV,2025,1,intervention,2612592.1
NewAdultHIV,2025,1,percent_change,6.124743705084929
NewAdultHIV,2025,2,baseline,2373056.9
NewAdultHIV,2025,2,intervention,2509307
NewAdultHIV,2025,2,percent_change,5.741543744694874
NewDiagnosesPregnancy,2025,1,baseline,197152.37
NewDiagnosesPregnancy,2025,1,intervention,255720.9
NewDiagnosesPregnancy,2025,1,percent_change,29.70724115566047
NewDiagnosesPregnancy,2025,2,baseline,194294.84
NewDiagnosesPregnancy,2025,2,intervention,250794.3
NewDiagnosesPregnancy,2025,2,percent_change,29.07923854282491
Number1stHIVtestsPos,2025,1,baseline,2565423.5
Number1stHIVtestsPos,2025,1,intervention,2613759
Number1stHIVtestsPos,2025,1,percent_change,1.8841138704779152
Number1stHIVtestsPos,2025,2,baseline,2485874.5
Number1stHIVtestsPos,2025,2,intervention,2522503.3
Number1stHIVtestsPos,2025,2,percent_change,1.4734774422441606
RediagnosesPregnancy,2025,1,baseline,594479.7
RediagnosesPregnancy,2025,1,intervention,608751.9
RediagnosesPregnancy,2025,1,percent_change,2.400788454172627
RediagnosesPregnancy,2025,2,baseline,549744.2
RediagnosesPregnancy,2025,2,intervention,559595.1
RediagnosesPregnancy,2025,2,percent_change,1.7919061265221212
StartingARTtot,2025,1,baseline,2695189.4
StartingARTtot,2025,1,intervention,2717397.9
StartingARTtot,2025,1,percent_change,0.8240051701004761
StartingARTtot,2025,2,baseline,2660545.9
StartingARTtot,2025,2,intervention,2674285.1
StartingARTtot,2025,2,percent_change,0.516405298626879
TotalAIDSdeathsadult,2025,1,baseline,895922.8
TotalAIDSdeathsadult,2025,1,intervention,944683.5
TotalAIDSdeathsadult,2025,1,percent_change,5.442511341378962
TotalAIDSdeathsadult,2025,2,baseline,892401.9
TotalAIDSdeathsadult,2025,2,intervention,933602.8
TotalAIDSdeathsadult,2025,2,percent_change,4.616854804993134
TotalHIVtests,2025,1,baseline,479975100
TotalHIVtests,2025,1,intervention,346193800
TotalHIVtests,2025,1,percent_change,-27.87255005520078
TotalHIVtests,2025,2,baseline,393209100
TotalHIVtests,2025,2,intervention,287457500
TotalHIVtests,2025,2,percent_change,-26.894494557730226
TotANCtests,2025,1,baseline,39784620
TotANCtests,2025,1,intervention,39749950
TotANCtests,2025,1,percent_change,-0.0871442280961839
TotANCtests,2025,2,baseline,40101980
TotANCtests,2025,2,intervention,40070420
TotANCtests,2025,2,percent_change,-0.07869935599189866
TotHIV15,2025,1,baseline,169160930
TotHIV15,2025,1,intervention,169960000
TotHIV15,2025,1,percent_change,0.47237266903179126
TotHIV15,2025,2,baseline,170508740
TotHIV15,2025,2,intervention,171258610
TotHIV15,2025,2,percent_change,0.4397839078512925
VLsuppressed,2025,1,baseline,19.37581
VLsuppressed,2025,1,intervention,19.37026
VLsuppressed,2025,1,percent_change,-0.028643963787852233
VLsuppressed,2025,2,baseline,19.412963
VLsuppressed,2025,2,intervention,19.407691
VLsuppressed,2025,2,percent_change,-0.02715711146207561
LYlostAIDS,2030,1,baseline,25166454
LYlostAIDS,2030,1,intervention,26737155
LYlostAIDS,2030,1,percent_change,6.241248767108787
LYlostAIDS,2030,2,baseline,25095048
LYlostAIDS,2030,2,intervention,26446133
LYlostAIDS,2030,2,percent_change,5.383870953345058
NewAdultHIV,2030,1,baseline,2069759.5
NewAdultHIV,2030,1,intervention,2200080.3
NewAdultHIV,2030,1,percent_change,6.296422362115011
NewAdultHIV,2030,2,baseline,1974353.6
NewAdultHIV,2030,2,intervention,2089823.2
NewAdultHIV,2030,2,percent_change,5.848476179748139
NewDiagnosesPregnancy,2030,1,baseline,150798.04
NewDiagnosesPregnancy,2030,1,intervention,196269.81
NewDiagnosesPregnancy,2030,1,percent_change,30.154085557080172
NewDiagnosesPregnancy,2030,2,baseline,146809.41
NewDiagnosesPregnancy,2030,2,intervention,189888.85
NewDiagnosesPregnancy,2030,2,percent_change,29.34378661422316
Number1stHIVtestsPos,2030,1,baseline,2137877.3
Number1stHIVtestsPos,2030,1,intervention,2180255.4
Number1stHIVtestsPos,2030,1,percent_change,1.9822512732606354
Number1stHIVtestsPos,2030,2,baseline,2054352.2
Number1stHIVtestsPos,2030,2,intervention,2085259.9
Number1stHIVtestsPos,2030,2,percent_change,1.5044985957130406
RediagnosesPregnancy,2030,1,baseline,455658
RediagnosesPregnancy,2030,1,intervention,466751.6
RediagnosesPregnancy,2030,1,percent_change,2.4346329922880705
RediagnosesPregnancy,2030,2,baseline,417375.51
RediagnosesPregnancy,2030,2,intervention,424878.2
RediagnosesPregnancy,2030,2,percent_change,1.7975875010011972
StartingARTtot,2030,1,baseline,2214160.2
StartingARTtot,2030,1,intervention,2234670
StartingARTtot,2030,1,percent_change,0.9263015386149481
StartingARTtot,2030,2,baseline,2157635.9
StartingARTtot,2030,2,intervention,2169900.9
StartingARTtot,2030,2,percent_change,0.5684462332129346
TotalAIDSdeathsadult,2030,1,baseline,869586.3
TotalAIDSdeathsadult,2030,1,intervention,912128
TotalAIDSdeathsadult,2030,1,percent_change,4.892176889171316
TotalAIDSdeathsadult,2030,2,baseline,862083.2
TotalAIDSdeathsadult,2030,2,intervention,897385.3
TotalAIDSdeathsadult,2030,2,percent_change,4.094975983756568
TotalHIVtests,2030,1,baseline,508126100
TotalHIVtests,2030,1,intervention,367005200
TotalHIVtests,2030,1,percent_change,-27.772810725526597
TotalHIVtests,2030,2,baseline,415553500
TotalHIVtests,2030,2,intervention,304130400
TotalHIVtests,2030,2,percent_change,-26.813178086576094
TotANCtests,2030,1,baseline,40849120
TotANCtests,2030,1,intervention,40820420
TotANCtests,2030,1,percent_change,-0.07025855146940742
TotANCtests,2030,2,baseline,41116180
TotANCtests,2030,2,intervention,41090670
TotANCtests,2030,2,percent_change,-0.062043701530638304
TotHIV15,2030,1,baseline,166013380
TotHIV15,2030,1,intervention,166699390
TotHIV15,2030,1,percent_change,0.41322572915508377
TotHIV15,2030,2,baseline,166866870
TotHIV15,2030,2,intervention,167496000
TotHIV15,2030,2,percent_change,0.37702510989748894
VLsuppressed,2030,1,baseline,19.409081
VLsuppressed,2030,1,intervention,19.404485
VLsuppressed,2030,1,percent_change,-0.023679637382106745
VLsuppressed,2030,2,baseline,19.44535
VLsuppressed,2030,2,intervention,19.441012
