indicator,intervention_year,test_reduction,scenario,mean,upper_CI,lower_CI
NewAdultHIV,2025,0,absolute_dif,0,0,0
NewAdultHIV,2025,20,absolute_dif,305296.611,383157.2725000003,228423.8949999999
NewAdultHIV,2025,40,absolute_dif,691812.736,864220.4925000004,516694.88249999995
NewAdultHIV,2025,60,absolute_dif,1176944.195,1462765.1999999997,884659.52
NewAdultHIV,2025,80,absolute_dif,1775794.779,2195820.3674999992,1359090.8375
NewAdultHIV,2025,100,absolute_dif,2474297.787,3026795.7024999983,1940205.1925
NewAdultHIV,2030,0,absolute_dif,0,0,0
NewAdultHIV,2030,20,absolute_dif,238845.721,307042.79750000034,176499.45249999998
NewAdultHIV,2030,40,absolute_dif,541088.335,692373.9950000001,398828.12250000006
NewAdultHIV,2030,60,absolute_dif,920460.536,1171779.6524999999,682256.4500000001
NewAdultHIV,2030,80,absolute_dif,1389403.909,1756705.7949999995,1047717.9999999999
NewAdultHIV,2030,100,absolute_dif,1938737.748,2430586.8774999985,1497416.3900000001
NewAdultHIV,2040,0,absolute_dif,0,0,0
NewAdultHIV,2040,20,absolute_dif,130923.91799999999,177784.22999999984,93387.2675
NewAdultHIV,2040,40,absolute_dif,294222.496,399207.6050000001,209294.84250000003
NewAdultHIV,2040,60,absolute_dif,496258.038,670626.9425000002,354846.5900000002
NewAdultHIV,2040,80,absolute_dif,742807.969,998151.595,542612.2225
NewAdultHIV,2040,100,absolute_dif,1029552.387,1372994.0724999998,766508.335
NewAdultHIV,2045,0,absolute_dif,0,0,0
NewAdultHIV,2045,20,absolute_dif,91818.57699999999,128396.0899999999,64397.9
NewAdultHIV,2045,40,absolute_dif,204754.522,286489.0625000001,143316.16999999998
NewAdultHIV,2045,60,absolute_dif,342502.15,477960.5024999998,241862.70750000008
NewAdultHIV,2045,80,absolute_dif,508317.397,705808.2475000003,363007.10750000004
NewAdultHIV,2045,100,absolute_dif,699101.114,964042.52,508248.04249999975
NewAdultHIV,2050,0,absolute_dif,0,0,0
NewAdultHIV,2050,20,absolute_dif,61193.27500000001,87254.58499999982,42233.85249999996
NewAdultHIV,2050,40,absolute_dif,135003.16999999998,194551.03249999997,93259.3375
NewAdultHIV,2050,60,absolute_dif,223234.96699999998,321346.43000000005,154825.49499999988
NewAdultHIV,2050,80,absolute_dif,327385.456,469301.4350000003,229332.49500000008
NewAdultHIV,2050,100,absolute_dif,445251.19,629739.0700000003,316393.77249999996
