indicator,intervention_year,scenario,median,lower_CI,upper_CI
LYlostAIDS,2025,baseline,28960450,26825043,30801345
LYlostAIDS,2025,intervention,39782160,36678077,42210765.75
LYlostAIDS,2030,baseline,25372673,23464336,27285410
LYlostAIDS,2030,intervention,34297175,31582680,36601686.75
LYlostAIDS,2035,baseline,21965624,20183609.7,23863852.375
LYlostAIDS,2035,intervention,29144825,26630370,31442573.75
LYlostAIDS,2040,baseline,18636654,16930008.55,20464251.950000003
LYlostAIDS,2040,intervention,24369167,22025415.674999997,26621385.249999996
LYlostAIDS,2045,baseline,15492308,13869399,17273879.325
LYlostAIDS,2045,intervention,20120237,17873570.175,22384608.549999997
LYlostAIDS,2050,baseline,12634185.5,11153560.75,14388194.1
LYlostAIDS,2050,intervention,16388195,14236861.25,18652502.875
NewAdultHIV,2025,baseline,2472167.4,2214834.2425,2679541.3425000003
NewAdultHIV,2025,intervention,3240328,2854294,3479862.4
NewAdultHIV,2030,baseline,2070150.5,1827455.5999999999,2284037.5675
NewAdultHIV,2030,intervention,2736819,2390702.355,2979665.275
NewAdultHIV,2035,baseline,1721555.2,1496931.3,1933539.6324999998
NewAdultHIV,2035,intervention,2280986.05,1950519.1675,2535528.675
NewAdultHIV,2040,baseline,1427989.6,1221864.9300000002,1641067.3575
NewAdultHIV,2040,intervention,1894014.65,1577348.5425000002,2160878.0949999997
NewAdultHIV,2045,baseline,1184633.65,988986.2799999999,1393487.855
NewAdultHIV,2045,intervention,1578671.2000000002,1289372.3275000001,1852815.4149999998
NewAdultHIV,2050,baseline,979255.6,795759.2875,1186875.3625
NewAdultHIV,2050,intervention,1312710.5,1045828.6,1595261.7300000002
TotalAIDSdeathsadult,2025,baseline,897857.5,838637.9,949890.48
TotalAIDSdeathsadult,2025,intervention,1142644.1,1062264.71,1205990.3
TotalAIDSdeathsadult,2030,baseline,867952.4,810154.315,919511.8975000001
TotalAIDSdeathsadult,2030,intervention,1077026.25,1002607.65,1137038.875
TotalAIDSdeathsadult,2035,baseline,825449.1499999999,768350.6825,878412.4625
TotalAIDSdeathsadult,2035,intervention,1001130.7,929314.3,1062723.2075
TotalAIDSdeathsadult,2040,baseline,765949.05,709527.145,820442.2999999999
TotalAIDSdeathsadult,2040,intervention,914027.8,842425.2,974854.11
TotalAIDSdeathsadult,2045,baseline,692634.8500000001,637628.9604999999,747275.1425
TotalAIDSdeathsadult,2045,intervention,816298.15,746357.6,879386.165
TotalAIDSdeathsadult,2050,baseline,608422.4,555364.86,663460.8355
TotalAIDSdeathsadult,2050,intervention,712126.1,643708.8,776637.1
