"years","TotalHIVtests_baseline","TotalHIVtests_2025","TotalHIVtests_2030","TotalHIVtests_2035","TotalHIVtests_2040","TotalHIVtests_2045","TotalHIVtests_2050","TotalHIVtests_2055","TotalHIVtests_2060","TotalHIVtests_2065","TotalNewHIV_baseline","TotalNewHIV_2025","TotalNewHIV_2030","TotalNewHIV_2035","TotalNewHIV_2040","TotalNewHIV_2045","TotalNewHIV_2050","TotalNewHIV_2055","TotalNewHIV_2060","TotalNewHIV_2065","LYlostAIDS_baseline","LYlostAIDS_2025","LYlostAIDS_2030","LYlostAIDS_2035","LYlostAIDS_2040","LYlostAIDS_2045","LYlostAIDS_2050","LYlostAIDS_2055","LYlostAIDS_2060","LYlostAIDS_2065","AIDSdeathsAdultM_baseline","AIDSdeathsAdultM_2025","AIDSdeathsAdultM_2030","AIDSdeathsAdultM_2035","AIDSdeathsAdultM_2040","AIDSdeathsAdultM_2045","AIDSdeathsAdultM_2050","AIDSdeathsAdultM_2055","AIDSdeathsAdultM_2060","AIDSdeathsAdultM_2065","AIDSdeathsAdultF_baseline","AIDSdeathsAdultF_2025","AIDSdeathsAdultF_2030","AIDSdeathsAdultF_2035","AIDSdeathsAdultF_2040","AIDSdeathsAdultF_2045","AIDSdeathsAdultF_2050","AIDSdeathsAdultF_2055","AIDSdeathsAdultF_2060","AIDSdeathsAdultF_2065","DiagnosedHIV_M_baseline","DiagnosedHIV_M_2025","DiagnosedHIV_M_2030","DiagnosedHIV_M_2035","DiagnosedHIV_M_2040","DiagnosedHIV_M_2045","DiagnosedHIV_M_2050","DiagnosedHIV_M_2055","DiagnosedHIV_M_2060","DiagnosedHIV_M_2065","DiagnosedHIV_F_baseline","DiagnosedHIV_F_2025","DiagnosedHIV_F_2030","DiagnosedHIV_F_2035","DiagnosedHIV_F_2040","DiagnosedHIV_F_2045","DiagnosedHIV_F_2050","DiagnosedHIV_F_2055","DiagnosedHIV_F_2060","DiagnosedHIV_F_2065","Number1stHIVtestsPos_baseline","Number1stHIVtestsPos_2025","Number1stHIVtestsPos_2030","Number1stHIVtestsPos_2035","Number1stHIVtestsPos_2040","Number1stHIVtestsPos_2045","Number1stHIVtestsPos_2050","Number1stHIVtestsPos_2055","Number1stHIVtestsPos_2060","Number1stHIVtestsPos_2065","StartingARTtot_baseline","StartingARTtot_2025","StartingARTtot_2030","StartingARTtot_2035","StartingARTtot_2040","StartingARTtot_2045","StartingARTtot_2050","StartingARTtot_2055","StartingARTtot_2060","StartingARTtot_2065","Prop1stHIVtestsPos_baseline","Prop1stHIVtestsPos_2025","Prop1stHIVtestsPos_2030","Prop1stHIVtestsPos_2035","Prop1stHIVtestsPos_2040","Prop1stHIVtestsPos_2045","Prop1stHIVtestsPos_2050","Prop1stHIVtestsPos_2055","Prop1stHIVtestsPos_2060","Prop1stHIVtestsPos_2065","NewDiagnosesPregnancy_baseline","NewDiagnosesPregnancy_2025","NewDiagnosesPregnancy_2030","NewDiagnosesPregnancy_2035","NewDiagnosesPregnancy_2040","NewDiagnosesPregnancy_2045","NewDiagnosesPregnancy_2050","NewDiagnosesPregnancy_2055","NewDiagnosesPregnancy_2060","NewDiagnosesPregnancy_2065","TotalART15F_baseline","TotalART15F_2025","TotalART15F_2030","TotalART15F_2035","TotalART15F_2040","TotalART15F_2045","TotalART15F_2050","TotalART15F_2055","TotalART15F_2060","TotalART15F_2065","TotalART15M_baseline","TotalART15M_2025","TotalART15M_2030","TotalART15M_2035","TotalART15M_2040","TotalART15M_2045","TotalART15M_2050","TotalART15M_2055","TotalART15M_2060","TotalART15M_2065","RediagnosesPregnancy_baseline","RediagnosesPregnancy_2025","RediagnosesPregnancy_2030","RediagnosesPregnancy_2035","RediagnosesPregnancy_2040","RediagnosesPregnancy_2045","RediagnosesPregnancy_2050","RediagnosesPregnancy_2055","RediagnosesPregnancy_2060","RediagnosesPregnancy_2065","TotANCtests_baseline","TotANCtests_2025","TotANCtests_2030","TotANCtests_2035","TotANCtests_2040","TotANCtests_2045","TotANCtests_2050","TotANCtests_2055","TotANCtests_2060","TotANCtests_2065","TotalAIDSdeathsAdult_baseline","TotalAIDSdeathsAdult_2025","TotalAIDSdeathsAdult_2030","TotalAIDSdeathsAdult_2035","TotalAIDSdeathsAdult_2040","TotalAIDSdeathsAdult_2045","TotalAIDSdeathsAdult_2050","TotalAIDSdeathsAdult_2055","TotalAIDSdeathsAdult_2060","TotalAIDSdeathsAdult_2065","TotalARTAdult_baseline","TotalARTAdult_2025","TotalARTAdult_2030","TotalARTAdult_2035","TotalARTAdult_2040","TotalARTAdult_2045","TotalARTAdult_2050","TotalARTAdult_2055","TotalARTAdult_2060","TotalARTAdult_2065","TotalDiagnosedHIV_baseline","TotalDiagnosedHIV_2025","TotalDiagnosedHIV_2030","TotalDiagnosedHIV_2035","TotalDiagnosedHIV_2040","TotalDiagnosedHIV_2045","TotalDiagnosedHIV_2050","TotalDiagnosedHIV_2055","TotalDiagnosedHIV_2060","TotalDiagnosedHIV_2065","ANCTestPositivity_baseline","ANCTestPositivity_2025","ANCTestPositivity_2030","ANCTestPositivity_2035","ANCTestPositivity_2040","ANCTestPositivity_2045","ANCTestPositivity_2050","ANCTestPositivity_2055","ANCTestPositivity_2060","ANCTestPositivity_2065","ARTinitiationRatio_baseline","ARTinitiationRatio_2025","ARTinitiationRatio_2030","ARTinitiationRatio_2035","ARTinitiationRatio_2040","ARTinitiationRatio_2045","ARTinitiationRatio_2050","ARTinitiationRatio_2055","ARTinitiationRatio_2060","ARTinitiationRatio_2065","TotalARTRatio_baseline","TotalARTRatio_2025","TotalARTRatio_2030","TotalARTRatio_2035","TotalARTRatio_2040","TotalARTRatio_2045","TotalARTRatio_2050","TotalARTRatio_2055","TotalARTRatio_2060","TotalARTRatio_2065","TotalTestPositivity_baseline","TotalTestPositivity_2025","TotalTestPositivity_2030","TotalTestPositivity_2035","TotalTestPositivity_2040","TotalTestPositivity_2045","TotalTestPositivity_2050","TotalTestPositivity_2055","TotalTestPositivity_2060","TotalTestPositivity_2065"
1995,635623.5,635623.5,635623.5,635623.5,635623.5,635623.5,635623.5,635623.5,635623.5,635623.5,416397,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,2495120,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,15294.85,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,12633.25,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,26435.2,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,35932.8,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,49609.95,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,0,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,0.0780497,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,0,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,0,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,0,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,0,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,0,416398,2495130,15294.75,12633.15,26434.65,35932.4,49610.45,0,0.0780544,27928.1,832796,4990260,30589.5,25266.3,52869.3,71864.8,99220.9,0,0.1561088,0,832796,4990260,30589.5,25266.3,52869.3,71864.8,99220.9,0,0.1561088,62368,832796,4990260,30589.5,25266.3,52869.3,71864.8,99220.9,0,0.1561088,NA,100,100,100,100,100,100,100,NA,100,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,NA,1,7.80492697327899,65.5101644290999,392.548418993319,2.40625936580381,1.98752091450363,4.15885347222058,5.6530949532231,7.80500563619816,0,1.2279973915376e-05
1996,762810.5,762810.5,762810.5,762810.5,762810.5,762810.5,762810.5,762810.5,762810,762810,464546,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,3433040,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,21879.8,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,19225.65,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,44937.25,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,64049.75,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,71123.8,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,0,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,0.09323985,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,0,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,0,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,0,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,0,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,0,464547,3433050,21879.75,19225.55,44936.7,64049.5,71124.35,0,0.0932446,41105.45,929094,6866100,43759.5,38451.1,89873.4,128099,142248.7,0,0.1864892,0,929094,6866100,43759.5,38451.1,89873.4,128099,142248.7,0,0.1864892,108987,929094,6866100,43759.5,38451.1,89873.4,128099,142248.7,0,0.1864892,NA,100,100,100,100,100,100,100,NA,100,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,NA,1,9.32391465508144,60.8993976878923,450.052798172023,2.86830739744668,2.52035728401746,5.89093883736524,8.3965152550994,9.32398675686819,0,1.2223830311611e-05
1997,889952,889952,889952,889952,889952,889952,889952,889952,889952,889952,496946.5,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,4550965,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,29640.65,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,27675.65,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,69486.75,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,103158,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,95104.85,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,0,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,0.106866,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,0,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,0,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,0,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,0,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,0,496947.5,4550980,29640.6,27675.55,69486.3,103158,95105.5,0,0.106871,57316.3,993895,9101960,59281.2,55351.1,138972.6,206316,190211,0,0.213742,0,993895,9101960,59281.2,55351.1,138972.6,206316,190211,0,0.213742,172644.75,993895,9101960,59281.2,55351.1,138972.6,206316,190211,0,0.213742,NA,100,100,100,100,100,100,100,NA,100,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,NA,1,10.6865145535939,55.8398093380317,511.373647118047,3.33058412139082,3.10978007802668,7.80787053683794,11.5914116716407,10.6865875912409,0,1.20086251842796e-05
1998,1016880,1016880,1016880,1016880,1016880,1016880,1016880,1016880,1016880,1016880,518515.5,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,5787210,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,38596.95,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,38200.4,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,100658,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,154915,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,120548.5,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,0,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,0.1185485,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,0,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,0,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,0,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,0,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,0,518516.5,5787230,38596.9,38200.25,100657.6,154915.5,120549.5,0,0.118553,76797.35,1037033,11574460,77193.8,76400.5,201315.2,309831,241099,0,0.237106,0,1037033,11574460,77193.8,76400.5,201315.2,309831,241099,0,0.237106,255573,1037033,11574460,77193.8,76400.5,201315.2,309831,241099,0,0.237106,NA,100,100,100,100,100,100,100,NA,100,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,NA,1,11.8547419557863,50.990923216112,569.116316576194,3.79561993548895,3.75661336637558,9.89867044292345,15.2343934387538,11.8548402958068,0,1.16585044449689e-05
1999,1143390,1143390,1143390,1143390,1143390,1143390,1143390,1143390,1143390,1143390,531168.5,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,7176125,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,48542.85,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,50767.1,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,138088.5,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,219349,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,146680.5,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,0,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,0.1282865,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,1511.455,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,0,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,0,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,209.7985,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,8929.9,531169,7176150,48542.8,50766.95,138088.5,219349,146681,0,0.1282905,99309.95,1062338,14352300,97085.6,101533.9,276177,438698,293362,0,0.256581,0,1062338,14352300,97085.6,101533.9,276177,438698,293362,0,0.256581,357437.5,1062338,14352300,97085.6,101533.9,276177,438698,293362,0,0.256581,16.9257774443163,100,100,100,100,100,100,100,NA,100,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,NA,1,12.8285624327657,46.4556275636484,627.6204969433,4.24551552838489,4.44003795730241,12.0771127961588,19.1840929166776,12.8286061623768,0,1.12201873376538e-05
2000,1269205,1269205,1269205,1269205,1269205,1269205,1269205,1269205,1269205,1269205,533639,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,8657510,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,59154.6,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,65048.6,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,180594,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,296283.5,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,172610.5,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,7814.99,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,0.136,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,5103.745,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,0,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,0,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,857.0745,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,28406.9,533639.5,8657535,59154.6,65048.5,180593.5,296284.5,172611,7814.995,0.136004,124203.2,1067279,17315070,118309.2,130097,361187,592569,345222,15629.99,0.272008,0,1067279,17315070,118309.2,130097,361187,592569,345222,15629.99,0.272008,476877.5,1067279,17315070,118309.2,130097,361187,592569,345222,15629.99,0.272008,17.9665679817228,100,100,100,100,100,100,100,100,100,0.0452752874245773,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13.5998912705197,42.045177886945,682.122667339004,4.66076008209864,5.12513738915305,14.2288676770104,23.3441012287219,13.599930665259,0.615739380163173,1.07156842275283e-05
2001,1394550,1394550,1394550,1394550,1394550,1394550,1394550,1394550,1394550,1394550,529020.5,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,10008580,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,69159.4,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,78960.1,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,226668,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,385095.5,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,198441,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,10203.1,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,0.142298,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,13677.3,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,4029.115,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,1824.56,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,2756.955,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,73465.9,529021,10008630,69159.4,78960,226667.5,385096.5,198441.5,10203.1,0.1423015,148119.5,1058042,20017260,138318.8,157920,453335,770193,396883,20406.2,0.284603,5853.675,1058042,20017260,138318.8,157920,453335,770193,396883,20406.2,0.284603,611763.5,1058042,20017260,138318.8,157920,453335,770193,396883,20406.2,0.284603,18.6172088002733,100,100,100,100,100,100,100,100,100,0.0514162899803972,1,1,1,1,1,1,1,1,1,0.00956852607257543,1,1,1,1,1,1,1,1,1,14.2297515327525,37.9348893908429,717.696030977735,4.95926284464523,5.6620415187695,16.2538094725897,27.6143917392707,14.2297873866122,0.731641031157004,1.02041160230899e-05
2002,1518845,1518845,1518845,1518845,1518845,1518845,1518845,1518845,1518845,1518845,520296,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,11357400,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,79478.95,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,93627.3,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,275929.5,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,487622,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,224418,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,13035.35,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,0.147757,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,28899,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,8823.875,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,3781.64,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,6971.5,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,153168,520296.5,11357400,79479,93627.2,275929.5,487623,224418.5,13035.35,0.1477595,173106.25,1040593,22714800,158958,187254.4,551859,975246,448837,26070.7,0.295519,12605.515,1040593,22714800,158958,187254.4,551859,975246,448837,26070.7,0.295519,763551.5,1040593,22714800,158958,187254.4,551859,975246,448837,26070.7,0.295519,18.8675180194296,100,100,100,100,100,100,100,100,100,0.0580851357734228,1,1,1,1,1,1,1,1,1,0.0165090566910025,1,1,1,1,1,1,1,1,1,14.7755695940007,34.2560629952365,747.765571865464,5.23285786238885,6.16436831934793,18.1670611550224,32.104855992547,14.7756025137522,0.858240965997189,9.72841204994585e-06
2003,1648525,1648525,1648525,1648525,1648525,1648525,1648525,1648525,1648525,1648525,510241.5,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,12615850,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,89439.65,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,108366,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,324970.5,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,603823.5,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,253492.5,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,16390.4,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,0.15377,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,59002.6,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,14844.2,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,6020.175,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,17192.55,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,316025.5,510242,12615900,89439.7,108366,324970.5,603825,253493,16390.4,0.153773,197805.65,1020484,25231800,178879.4,216732,649941,1207650,506986,32780.8,0.307546,20864.375,1020484,25231800,178879.4,216732,649941,1207650,506986,32780.8,0.307546,928794,1020484,25231800,178879.4,216732,649941,1207650,506986,32780.8,0.307546,18.6702022463377,100,100,100,100,100,100,100,100,100,0.064658323224553,1,1,1,1,1,1,1,1,1,0.0224639424888619,1,1,1,1,1,1,1,1,1,15.3769278597534,30.9514262750034,765.284117620297,5.42543789144842,6.57351268558257,19.7128038701263,36.6281979345172,15.376958189897,0.99424637175657,9.32791434767444e-06
2004,1776395,1776395,1776395,1776395,1776395,1776395,1776395,1776395,1776395,1776395,500410.5,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,13846350,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,99465.45,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,123509.5,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,370080,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,738984,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,293553.5,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,79547.75,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,0.1652535,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,81653.2,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,22478.55,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,8576.315,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,28608.3,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,451851,500411,13846400,99465.5,123509.5,370080,738985.5,293554,79547.75,0.165256,222974.95,1000822,27692800,198931,247019,740160,1477971,587108,159095.5,0.330512,31054.865,1000822,27692800,198931,247019,740160,1477971,587108,159095.5,0.330512,1109064,1000822,27692800,198931,247019,740160,1477971,587108,159095.5,0.330512,18.0708242318817,100,100,100,100,100,100,100,100,100,0.270982120805918,1,1,1,1,1,1,1,1,1,0.0280009674824897,1,1,1,1,1,1,1,1,1,16.5252379116131,28.1700297512659,779.466278614835,5.59928957242055,6.95281736325536,20.8332043267404,41.6002916018115,16.5252660585061,4.47804401611128,9.30288590093982e-06
2005,2205155,2205155,2205155,2205155,2205155,2205155,2205155,2205155,2205155,2205155,487079,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,13865000,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,102640,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,125083,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,420212.5,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,892644,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,416799,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,129603,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,0.189013,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,101613.5,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,64045.85,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,24157.7,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,43802.75,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,598558,487079,13865000,102640,125083,420213,892645.5,416800,129603,0.1890155,227723,974158,27730000,205280,250166,840426,1785291,833600,259206,0.378031,88203.55,974158,27730000,205280,250166,840426,1785291,833600,259206,0.378031,1312856.5,974158,27730000,205280,250166,840426,1785291,833600,259206,0.378031,16.976383241056,100,100,100,100,100,100,100,100,100,0.310948442774575,1,1,1,1,1,1,1,1,1,0.0671844561839013,1,1,1,1,1,1,1,1,1,18.90112032941,22.0881978817816,628.753987814915,4.6545480929912,5.67229967961436,19.055939378411,40.479943586732,18.9011656776961,5.87727393312488,8.57152898549082e-06
