indicator,intervention_year,test_reduction,scenario,mean,upper_CI,lower_CI
NewAdultHIV,2025,0,absolute_dif,-1734898.6189000001,-1503763.86525,-1968969.0650000002
NewAdultHIV,2025,20,absolute_dif,-1565279.1033,-1359679.2975000003,-1755289.8554999996
NewAdultHIV,2025,40,absolute_dif,-1338033.3376,-1165838.98075,-1522998.80925
NewAdultHIV,2025,60,absolute_dif,-1034175.8573,-856468.8275000004,-1247880.7975
NewAdultHIV,2025,80,absolute_dif,-632884.923,-411826.4175000001,-904260.3574999999
NewAdultHIV,2025,100,absolute_dif,-128562.332,161205.81250000012,-457300.2474999998
