"years","MTCTrateAtBirth_baseline","MTCTrateAtBirth_2025","MTCTrateAtBirth_2030","MTCTrateAtBirth_2035","MTCTrateAtBirth_2040","MTCTrateAtBirth_2045","MTCTrateAtBirth_2050","MTCTrateAtBirth_2055","MTCTrateAtBirth_2060","MTCTrateAtBirth_2065","MTCTrateBirthDiag_baseline","MTCTrateBirthDiag_2025","MTCTrateBirthDiag_2030","MTCTrateBirthDiag_2035","MTCTrateBirthDiag_2040","MTCTrateBirthDiag_2045","MTCTrateBirthDiag_2050","MTCTrateBirthDiag_2055","MTCTrateBirthDiag_2060","MTCTrateBirthDiag_2065"
2011,0.0346736,0.0346736,0.0346736,0.0346736,0.0346736,0.0346736,0.0346736,0.0346736,0.0346736,0.0346736,0.026131,0.026131,0.026131,0.026131,0.026131,0.026131,0.026131,0.026131,0.026131,0.026131
2012,0.0304512,0.0304512,0.0304512,0.0304512,0.0304512,0.0304512,0.0304512,0.0304512,0.0304512,0.0304512,0.0231593,0.0231593,0.0231593,0.0231593,0.0231593,0.0231593,0.0231593,0.0231593,0.0231593,0.0231593
2013,0.0257697,0.0257697,0.0257697,0.0257697,0.0257697,0.0257697,0.0257697,0.0257697,0.0257697,0.0257697,0.019465,0.019465,0.019465,0.019465,0.019465,0.019465,0.019465,0.019465,0.019465,0.019465
2014,0.0189685,0.0189685,0.0189685,0.0189685,0.0189685,0.0189685,0.0189685,0.0189685,0.0189685,0.0189685,0.0133905,0.0133905,0.0133905,0.0133905,0.0133905,0.0133905,0.0133905,0.0133905,0.0133905,0.0133905
2015,0.0161383,0.0161383,0.0161383,0.0161383,0.0161383,0.0161383,0.0161383,0.0161383,0.0161383,0.0161383,0.0113584,0.0113584,0.0113584,0.0113584,0.0113584,0.0113584,0.0113584,0.0113584,0.0113584,0.0113584
2016,0.0132517,0.0132517,0.0132517,0.0132517,0.0132517,0.0132517,0.0132517,0.0132517,0.0132517,0.0132517,0.00927007,0.00927007,0.00927007,0.00927007,0.00927007,0.00927007,0.00927007,0.00927007,0.00927007,0.00927007
2017,0.0120556,0.0120556,0.0120556,0.0120556,0.0120556,0.0120556,0.0120556,0.0120556,0.0120556,0.0120556,0.0084702,0.0084702,0.0084702,0.0084702,0.0084702,0.0084702,0.0084702,0.0084702,0.0084702,0.0084702
2018,0.0112181,0.0112181,0.0112181,0.0112181,0.0112181,0.0112181,0.0112181,0.0112181,0.0112181,0.0112181,0.00790768,0.00790768,0.00790768,0.00790768,0.00790768,0.00790768,0.00790768,0.00790768,0.00790768,0.00790768
2019,0.0106064,0.0106064,0.0106064,0.0106064,0.0106064,0.0106064,0.0106064,0.0106064,0.0106064,0.0106064,0.00750548,0.00750548,0.00750548,0.00750548,0.00750548,0.00750548,0.00750548,0.00750548,0.00750548,0.00750548
2020,0.0105248,0.0105248,0.0105248,0.0105248,0.0105248,0.0105248,0.0105248,0.0105248,0.0105248,0.0105248,0.00749755,0.00749755,0.00749755,0.00749755,0.00749755,0.00749755,0.00749755,0.00749755,0.00749755,0.00749755
2021,0.0102112,0.0102112,0.0102112,0.0102112,0.0102112,0.0102112,0.0102112,0.0102112,0.0102112,0.0102112,0.00731156,0.00731156,0.00731156,0.00731156,0.00731156,0.00731156,0.00731156,0.00731156,0.00731156,0.00731156
2022,0.00991606,0.00991606,0.00991606,0.00991606,0.00991606,0.00991606,0.00991606,0.00991606,0.00991606,0.00991606,0.00710732,0.00710732,0.00710732,0.00710732,0.00710732,0.00710732,0.00710732,0.00710732,0.00710732,0.00710732
2023,0.00961735,0.00961735,0.00961735,0.00961735,0.00961735,0.00961735,0.00961735,0.00961735,0.00961735,0.00961735,0.00690263,0.00690263,0.00690263,0.00690263,0.00690263,0.00690263,0.00690263,0.00690263,0.00690263,0.00690263
2024,0.00948064,0.00948064,0.00948064,0.00948064,0.00948064,0.00948064,0.00948064,0.00948064,0.00948064,0.00948064,0.00679899,0.00679899,0.00679899,0.00679899,0.00679899,0.00679899,0.00679899,0.00679899,0.00679899,0.00679899
2025,0.00941446,0.00954938,0.00941446,0.00941446,0.00941446,0.00941446,0.00941446,0.00941446,0.00941446,0.00941446,0.00673828,0.00684477,0.00673828,0.00673828,0.00673828,0.00673828,0.00673828,0.00673828,0.00673828,0.00673828
2026,0.00938221,0.00983739,0.00938221,0.00938221,0.00938221,0.00938221,0.00938221,0.00938221,0.00938221,0.00938221,0.00670043,0.00703647,0.00670043,0.00670043,0.00670043,0.00670043,0.00670043,0.00670043,0.00670043,0.00670043
2027,0.00937075,0.0101639,0.00937075,0.00937075,0.00937075,0.00937075,0.00937075,0.00937075,0.00937075,0.00937075,0.00667796,0.00725094,0.00667796,0.00667796,0.00667796,0.00667796,0.00667796,0.00667796,0.00667796,0.00667796
